Field,Value
Recipe Name,Tuna Carpaccio
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Sushi
Stations,crudo
Menu Type,Regular
Meal Period,Nights
Meal Type,cold
Preparation Time,3 minutes
Plating Instructions,plated thin with a sauce and arugula salad over top.
Plate Type,clear round with lip
Utensils,
Allergies,"finfish, honey, fennel"
=== Ingredients ===,
"tuna, pounded thin","Unit: g, Qty: 75, Prep: "
fingerlime dressing,"Unit: g, Qty: 7, Prep: "
arugula,"Unit: g, Qty: 15, Prep: "
fried caperberries,"Unit: g, Qty: 1, Prep: "
yuzu kosho dressing,"Unit: g, Qty: 10, Prep: "
"fennel, shaved thin","Unit: g, Qty: 10, Prep: "
maldon,"Unit: g, Qty: 4, Prep: "
lemon supreme,"Unit: g, Qty: 4, Prep: "
=== Steps ===,
Step 1,portion and pound tuna between plastic wrap and store for use.
Step 2,when plating the top plastic sheet is removed and the tuna is seasoned with salt.
Step 3,brush the plate with yuzu kosho dressing then place tuna over top.
Step 4,"fish side down, remove second plastic sheet. Add fingerlime vinegrette and finishing salt."
Step 5,"in a mixing bowl toss arugula, fennel and lemon supremes with yuzu kosho dressing."
Step 6,place over tuna then add fried caperberries to garnish.
=== Plate Build ===,
Step 1,"small clear round plate, thin layer of tuna dressed in citrus with a small salad over top."
