Field,Value
Recipe Name,Branzino Chimichiurri
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,4 Days
Stations,Grill
Prep Time,~15 mins
Dishes,Herb Branzino
Description,
Equipment,
Kitchen Tools,"Rubber spatula, Whisk, Mixing Bowl, 
Deli Containers"
Allergies,"Citrus, Allium (Onion, Garlic), Nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
Herb Oil,"Unit: qt, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: prepped"
"Shallots, minced","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: minced/brunoise"
"Parsley, chiffonade","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: chiffonade"
"Cilantro, chiffonade","Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: chiffonade"
Red Chili Flake,"Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: dry spice"
"Lemon, juice (Fresh)","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: freshly squeezed"
"Herb, Thyme","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: fresh herb"
"Garlic, minced","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: minced/brunoise"
=== Prep Steps ===,
Step 1,Prepare all cut herbs and aromatics.  Use a mandolin with medium teeth to quickly brunoise shallot.
Step 2,Add all ingredients to herb oil and mix to thoroughly and evenly combine
Step 3,"Reserve in quart containers, in the cooler."
