Field,Value
Recipe Name,Herb Aioli Pickles
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,saucier
Prep Time,~15 mins
Dishes,Herb Aioli (Chicken Bao Buns)
Description,
Equipment,"Small Sauce Pot, Robot Coupe"
Kitchen Tools,Mandolin Slicer (Benriner)
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Water,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: "
Sushi Vinegar,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: prepped"
"Cucumbers, sliced","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: sliced 3/8"" thick"
=== Prep Steps ===,
Step 1,Slice cucumbers and place into quart containers
Step 2,"In a sauce pot, heat up water and sushi vinegar together until boiling."
Step 3,"Once boiling, remove from heat and pour over cucumber slices."
Step 4,Allow to cool to room temperature.
Step 5,Remove cucumber pickles from brine and pulse-blend in a robot coup until a rough small chop is achieved
Step 6,Reserve for use in the Herb Aioli
