Field,Value
Recipe Name,Daikon Katsuramuki
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,5 days
Stations,sushi
Prep Time,5 mins
Dishes,Off White / SoBe Roll
Description,
Equipment,Katsuramuki slice (vegetable sheeter)
Kitchen Tools,deli containers or other containers
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Daikon Radish,"Unit: nan, Batch x1: nan, Batch x2: nan, Batch x3: nan, Batch x4: nan, Prep/Brand: "
=== Prep Steps ===,
Step 1,Peel the skin of the daikon and cut the radish to the width of a sheet of nori (futomaki style)
Step 2,"Using a Katsuramaki Turning Slicer (Japanese Vegetable Sheeter), attach the radish piece to the designated pins"
Step 3,"Begin spinning the hand spinner first, and use the push bar to bring the radish up to the moving blade"
Step 4,"Begin applying more pressure as the radish starts to cut, until unnevenness is fixed and the sheet is contiguous"
Step 5,Remove the sheeted radish and cut into 10 inch lengths
Step 6,Stack sheets together and reserve in a container in water
Step 7,"Change water up to twice daily, or any time the radish is noticably pungeant when container is opened"
Step 8,Reserve in a cooler.
