Field,Value
Recipe Name,Branzino Marinade
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,4 days
Stations,grill
Prep Time,~5 mins
Dishes,Herb Branzino
Description,
Equipment,Robot Coupe
Kitchen Tools,"Mixing Bowl, deli containers"
Allergies,"Allium (Garlic), Cilantro, Fin Fish (Tuna, Anchovy), Gluten (Wheat), MSG"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Garlic,"Unit: gr, Batch x1: 280, Batch x2: 560, Batch x3: 840, Batch x4: 1120, Prep/Brand: fresh"
Lemon Grass,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Sa Bam quick frozen lemongrass"
"Herbs, Cilantro","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: fresh herbs, minced"
"Herbs, Chives","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: fresh herbs, minced"
"Herbs, Thyme","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: fresh herbs, minced"
Shiro Dashi,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Kikkoman Kaori"
Fish Sauce,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Three Crabs"
EVOO (First Set),"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Spoleto"
EVOO (Second Set),"Unit: gr, Batch x1: 216, Batch x2: 432, Batch x3: 648, Batch x4: 864, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,Mince the garlic in the robot coupe.
Step 2,"Add Lemon Grass, herbs, shiro dashi, fish sauce, and First Set EVOO"
Step 3,"Use pulse setting on robot coupe to create a paste, not puree."
Step 4,Set robot coupe on and pour in Second Set EVOO
Step 5,"Marinade should be paste like, but smooth enough to spread.  See picture"
Step 6,Reserve in quart containers in the cooler.
