Field,Value
Recipe Name,Wagyu Gyoza
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"Gyoza Plate, bamboo leaf, 
pansy flower"
Plate Type,
Utensils,
Allergies,"Allium (onion, garlic), Dairy, Sesame (oil), Soy, Gluten (Wheat), Egg, Sulfites, Nightshade, capsaicin, cilantro, ginger"
=== Ingredients ===,
Wagyu Gyozas,"Unit: ea, Qty: 4, Prep: prepped"
"Oil, canola","Unit: tt, Qty: 0, Prep: "
Water,"Unit: tt, Qty: 0, Prep: "
"bamboo, halved","Unit: ea, Qty: 1, Prep: "
pansy flower,"Unit: ea, Qty: 1, Prep: "
Amazu Ponzu,"Unit: g, Qty: 15, Prep: prepped"
"Chili, Serrano","Unit: g, Qty: 1, Prep: prepped, minced"
=== Steps ===,
Step 1,"In a nonstick saute skillet, add oil and water and gyozas and cover with steam lid"
Step 2,"Heat to medium or medium high, and cook covered until water has evaporated"
Step 3,"Gyozas should be cooked in the wrapper on top, and meat coming up to temp"
Step 4,Uncover and continue cooking to crisp up the bottom of the gyoza wrapper
Step 5,"add more oil if necessary, or more water and continue covering if necessary"
Step 6,"once bottoms are crispy, wrapper fully cooked, and meat is up to temp, remove from heat"
Step 7,"transfer to a sizzle plate lined with sport towel, allowing to rest crispy bottom-side-up"
Step 8,"Plate in a row on the gyoza Catch branded plate, with a bamboo leaf under and flower to side"
Step 9,Serve with ramekin filled with Amazu ponzu and serrano chilis
