Field,Value
Recipe Name,Daikon and Carrot Juilenne
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~5 mins
Dishes,A5 Hot Rock
Description,
Equipment,"mandoline (benriner), medium teeth insert"
Kitchen Tools,"deli containers, knife, peeler"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Carrot, jumbo","Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: "
"Radish, Daikon","Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: "
=== Prep Steps ===,
Step 1,Peel root vegetable with peeler.  Cut into 3-4 inch chunks.
Step 2,"On a mandaline fitted with medium sized teeth, slice into julienne"
Step 3,Reserve in quart containers in the cooler.
Step 4,NOTE:  This recipe is appropriate for both carrot and daikon for the Pickled Veg for A5 Hot Rock.
