Field,Value
Recipe Name,Crispy Rice Cakes Press and Fry
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,"Double Handle Cheese Knife, Fryer, Hakuzushi Press"
Kitchen Tools,"Sheet trays, hotel pans, cutting board"
Recipe Yield Unit,ea
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
"Rice, Rice Cakes (Cooked)","Unit: gr, Batch x1: 908.0, Batch x2: 1816, Batch x3: 2724, Batch x4: 3632, Prep/Brand: prepped"
Oil Spray,"Unit: tt, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Pam Aerosol Oil Spray"
=== Prep Steps ===,
Step 1,"Using a scale, measure out balls/pyramids of rice 2# at a time"
Step 2,"Using the large hakuzushi box press, add rice to the bottom in an even layer."
Step 3,"Using the top of the press, press rice into a firm cake that is even in thickness and shape."
Step 4,"Reserve to sheet trays in the cooler, uncovered for ~24 hours near the fans."
Step 5,"If reserving past ~24 hours, cover with a lexan lid to prevent over drying."
Step 6,To Cut:
Step 7,"Using the double handled cheese knife, cut the cakes into 2x6cm bars."
Step 8,"Reserve to hotel pans to fry, stored in cooler until needed."
Step 9,To Fry:
Step 10,"Fry cakes in small batches in ~350°F fryer, until edges are lightly toasted. Cool in basket while other batches cook."
Step 11,Reserve to hotel pans and store in cooler
