Field,Value
Recipe Name,Sushi Rice
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,1 day
Stations,sushi
Prep Time,40 mins
Dishes,various
Description,
Equipment,"zojirushi rice cooker, hangiri rice bowl"
Kitchen Tools,"Rice net, shimoji rice paddle, deli containers, 
sushi rice holding units"
Allergies,"alcohol (Nitrates), ginger"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Rice, Sushi short grain","Unit: qt, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: Tamanishiki"
Water,"Unit: qt, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: "
Sushi vinegar,"Unit: qt, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: prepped"
Miola,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Suihan Yo"
=== Prep Steps ===,
Step 1,"Begin by washing the rice.  In the rice cooking pot line with rice net, and fill with rice. Cover with cold water."
Step 2,"Using gentle, circular motions, agitate the rice gently to release the excess starch but not strong enough to break the grains"
Step 3,"Rinse with fresh, cooled water and repeat 2-3 times until water is mostly clear with only little starch left."
Step 4,"Strain after the final rinse, and place pot into rice cooker with rice still inside of the net."
Step 5,"Add miola to rice, then cover with the measured water.  Mix the miola and water into the rice, ensure rice is evenly covered."
Step 6,"Cook for ~45 minutes in electric ZojiRushi Rice cooker, or until cooker is switched to ""keep warm"""
Step 7,Remove rice promptly and place into Hangiri rice mixing bowl
Step 8,"Break the rice up first, then add half of the vinegar using the rice mixing paddle to spread evenly over the top"
Step 9,"In a horizontal cutting motion, mix the rice by cutting down one side of a pile of rice to evenly distribute vinegar."
Step 10,"Mix in the second half of vinegar and again mix in with cutting motion to finish distributing vinegar, identify clumps"
Step 11,"Allow to rest while cleaning the rice net and pot, then reserve the cooked and seasoned rice in a warmer."
Step 12,"Rice should not be wet, should have all vinegar adheared to grains and all grains seperately seasoned."
