Field,Value
Recipe Name,Octopus Confit
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,5 days
Stations,prep
Prep Time,~2 hours
Dishes,Grilled Octopus
Description,
Equipment,"Aluminum foil, convection oven, blast chiller"
Kitchen Tools,"600 Hotel Pan, Full sheet trays"
Allergies,"Allium, Molusk (similar to Shellfish but not the same)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),
Recipe Yield (Batch x2),
Recipe Yield (Batch x3),
Recipe Yield (Batch x4),
=== Ingredients ===,
"Lemon, halved","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: fresh, halved"
"Orange, halved","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: fresh, halved"
"Carrots, rough chop","Unit: gr, Batch x1: 260, Batch x2: 520, Batch x3: 780, Batch x4: 1040, Prep/Brand: rough chop"
"Onions, spanish white","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: rough chop"
"Herbs, Fennel Fronds","Unit: gr, Batch x1: 360, Batch x2: 720, Batch x3: 1080, Batch x4: 1440, Prep/Brand: herbs, fresh"
"Herbs, Thyme","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: herbs, fresh"
"Herbs, Tarragon","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: herbs, fresh"
"Herb, Bay Leaf (dry)","Unit: gr, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: herbs, dry"
"Octopus, Spanish (2000-2500g per octopus)","Unit: case, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: 4/6 Octopus"
"Spice, Black Peppercorn Whole","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: spice, dry"
"Oil, Canola Fryer","Unit: gr, Batch x1: 2500, Batch x2: 5000, Batch x3: 7500, Batch x4: 10000, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Place Octopus in a 600/6"" hotel pan"
Step 2,"Hand-squeeze citrus over the octopus, add to the pan"
Step 3,"Add all other ingredients, mix together"
Step 4,Cover with Canola Fryer Oil
Step 5,"Cover with aluminum foil, shiny side up, and crimp-seal to the pan."
Step 6,Place hotel pan in a ~500°F oven with low fan.
Step 7,Cook for ~1 hour and check for tenderness. Continue cooking in 15 minute intervals until ready.
Step 8,"Remove from the confit oil and cool on sheet trays, cutting to just legs as they are removed."
Step 9,Cool in the blast chiller on sheet trays.
Step 10,"Portion into 2.5"" rondelle or bias cuts, so that each piece is similar size in length and thickness with flat sides to sear."
Step 11,Portion into 4 oz portions.
Step 12,"NOTE: Strain and reserve confit oil for one extra use, split half and half with fresh oil for same recipe."
