Field,Value
Recipe Name,Carpaccio Sauce
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,5 mins
Dishes,various
Description,
Equipment,vitamix blender
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"Soy, Citrus, Allium (Garlic), Nightshade, Capsaicin, Finfish, Mustards"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Soy Sauce,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Kikkoman"
Yuzu Juice,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Muen Yuzuya"
Sushi Vinegar,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: prepped"
Shiro Dashi,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Kikkoman Kaori Soup Base"
Mirin,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Takara"
"Wasabi, frozen grated","Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Kinjirushi Nama Wasabi"
Yuzu Kosho,"Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Blue Yuzu (MTC)"
=== Prep Steps ===,
Step 1,"In a vitamix blender, combine all ingredients and blend on high until smooth."
Step 2,Reserve in quart containers.
Step 3,Store in the cooler.
