Field,Value
Recipe Name,Chicken Brine
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,24 hours
Stations,butchers
Prep Time,~45 mins
Dishes,"Chicken Bao, Crispy, Sandwich"
Description,
Equipment,"Large stock pot, lexon container"
Kitchen Tools,
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Water, Hot (12 quarts)","Unit: gr, Batch x1: 11352, Batch x2: 22704, Batch x3: 34056, Batch x4: 45408, Prep/Brand: "
"Salt, Kosher (1 box)","Unit: gr, Batch x1: 1360, Batch x2: 2720, Batch x3: 4080, Batch x4: 5440, Prep/Brand: Diamond Crystal"
"Sugar, Granulated","Unit: gr, Batch x1: 4000, Batch x2: 8000, Batch x3: 12000, Batch x4: 16000, Prep/Brand: Domino"
"Spice, Black Peppercorn whole","Unit: gr, Batch x1: 226, Batch x2: 452, Batch x3: 678, Batch x4: 904, Prep/Brand: "
"Herbs, Thyme","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: herbs, fresh"
Garlic,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: fresh, crushed"
Konbu (3 sheets),"Unit: gr, Batch x1: 560, Batch x2: 1120, Batch x3: 1680, Batch x4: 2240, Prep/Brand: Miyako Select Dashi Konbu"
"Ice, cubed (12 quarts)","Unit: gr, Batch x1: 48000, Batch x2: 96000, Batch x3: 144000, Batch x4: 192000, Prep/Brand: "
"Onion, spanish white","Unit: gr, Batch x1: 9000, Batch x2: 18000, Batch x3: 27000, Batch x4: 36000, Prep/Brand: "
"Herbs, Dried Bay Leaf (~10 leaves)","Unit: gr, Batch x1: 35, Batch x2: 70, Batch x3: 105, Batch x4: 140, Prep/Brand: Dried"
=== Prep Steps ===,
Step 1,"Place sugar, salt, and water in a large stock pot over high heat until sugar and salt dissolve, mixing while it heats"
Step 2,Place all other ingredients except ice in the pot and bring to a boil for ~15 mins
Step 3,"Place in an appropriate container (lexon, 22 quart cambro, hotel pan) and let cool to room temp"
Step 4,"Once cooled, add the ice and stir."
Step 5,Brine chicken for 24 hours.
