Field,Value
Recipe Name,Whole Roasted Branzino
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Pastry/Sushi/Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,copper skillet tray
Plate Type,
Utensils,copper tongs
Allergies,"citrus, allium (garlic, onion), nightshade, capsaicin, citrus, mustards"
=== Ingredients ===,
"Branzino, head on, no spine","Unit: ea, Qty: 1, Prep: prepped, butchers"
Branzino Chimichurri Sauce,"Unit: g, Qty: 35, Prep: prepped "
Patty Pan Squash,"Unit: g, Qty: 80, Prep: prepped,"
Baby Zucchini,"Unit: g, Qty: 80, Prep: prepped"
"Artichoke, quartered","Unit: ea, Qty: 5, Prep: Gervasio, jarred"
Branzino Chimichurri Sauce,"Unit: g, Qty: 35, Prep: prepped"
Heirloom Cherry Tomatoes,"Unit: g, Qty: 45, Prep: prepped, peeled"
"Lemon, halved and grilled","Unit: ea, Qty: 1, Prep: grilled"
Arugula,"Unit: g, Qty: 75, Prep: fresh"
Lemon Vinaigrette,"Unit: g, Qty: 15, Prep: prepped"
"Salt, Maldon","Unit: g, Qty: 1, Prep: Maldon"
Garlic Chips,"Unit: g, Qty: 20, Prep: prepped"
=== Steps ===,
Step 1,Cover the fish with salt and sear on the grill skin-side-down to get grill marks
Step 2,"Reserve to quarter/half sheet tray, skin side down"
Step 3,"Baste the fish with the Branzino Chimichurri (#2), and cook in oven until cooked"
Step 4,"Sautee the patty pan, zucchini, artichoke and tomotoes over medium high heat, season with salt"
Step 5,Finish the vegetables with second set of chimichurri (#6)
Step 6,"Plate the fish into the copper serving skillet, with the head sitting up and the body opened"
Step 7,Plate the vegetables in the middle of the fish
Step 8,"In a small mixing bowl, add arugula and lemon vinaigrette and season lightly with maldon salt"
Step 9,Add the salad to the top of the middle of the fish over the vegetables
Step 10,Garnish with the garlic chips and place the grilled lemon halv near the head to the side of the fish
Step 11,Serve immediately
