Field,Value
Recipe Name,Sherry Butter
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Entremet
Prep Time,~15 minutes
Dishes,Brussel Sprouts
Description,
Equipment,"Immersion Blender, burner range"
Kitchen Tools,"Whisk, rubber spatula, sauce pot or small rondeau,
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3.5
Recipe Yield (Batch x2),7
Recipe Yield (Batch x3),10.5
Recipe Yield (Batch x4),14
=== Ingredients ===,
"Vinegar, Sherry","Unit: gr, Batch x1: 2450, Batch x2: 4900, Batch x3: 7350, Batch x4: 9800, Prep/Brand: "
"Sugar, Dark Brown","Unit: gr, Batch x1: 3171, Batch x2: 6342, Batch x3: 9513, Batch x4: 12684, Prep/Brand: Domino"
"Butter, unsalted","Unit: gr, Batch x1: 1812, Batch x2: 3624, Batch x3: 5436, Batch x4: 7248, Prep/Brand: Silver Cow"
Xanthan Gum,"Unit: gr, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a rondeau over medium heat, add 1000 grams of the vinegar and all of the dark brown sugar and cook to disolve the sugar"
Step 2,"Once the sugar is dissolved, let it reduce by half while stirring occasionally to avoid burning the sugar"
Step 3,"Once reduced, add the remaining vinegar.  Reduce by half again."
Step 4,"Begin slowly incorporating the butter in tabs to mount, whisking in each tab over low heat."
Step 5,"After mounting butter, remove from heat. "
Step 6,Use a small immersion blender to blend in the xanthan gum until thickened to desired consistency.
Step 7,Reserve to quart containers and cool in the blast chiller or ice bath.
Step 8,Store in the cooler.
