Field,Value
Recipe Name,Truffle Butter
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~25 minutes
Dishes,Truffle Filet Mignon
Description,
Equipment,"Hobart Standing Mixer, paddle attachment"
Kitchen Tools,"Dough scraper, rubber spatula, plastic wrap"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Butter, unsalted Room Temp Butter (RTB)","Unit: gr, Batch x1: 10886, Batch x2: 21772, Batch x3: 32658, Batch x4: 43544, Prep/Brand: "
"Truffle Peelings, solids","Unit: gr, Batch x1: 794, Batch x2: 1588, Batch x3: 2382, Batch x4: 3176, Prep/Brand: Recoltes de France"
"Truffle Peelings, juice","Unit: gr, Batch x1: 738, Batch x2: 1476, Batch x3: 2214, Batch x4: 2952, Prep/Brand: Recoltes de France"
"Oil, Truffle White","Unit: gr, Batch x1: 1180, Batch x2: 2360, Batch x3: 3540, Batch x4: 4720, Prep/Brand: Belaria"
"Salt, Kosher","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Place RTB in the bowl of the large Hobart Stand Mixer, with paddle attachment, and whip on #3 speed for ~2 minutes"
Step 2,Add truffle juice and whip for an additional ~30 seconds.
Step 3,"Add truffle oil while the mixer is moving, for an additional ~30 seconds. Stop the mixer and scrape the sides."
Step 4,"Add truffle peelings and salt, and turn mixer back on for an additional ~60 seconds.  Scrape the sides again."
Step 5,Check for consistency with a Chef.
Step 6,"Remove paddle, scraping all product into the batch."
Step 7,"Using a rubber spatula, portion the butter into 2 and a half roullades."
Step 8,"For roullades, spread plastic wrap across a clean, stainless work surface.  Place butter in the middle in a line."
Step 9,"Use one side of the plastic roll over the butter, to create a log length wise. Cut plastic, and roll the log over the rest of it."
Step 10,"On each end of the log, begin squeezing excess air out up to the end of the logs.  Hold each end of excess plastic and roll away"
Step 11,"Roll while pinching the plastic, creating a uniform log that is tight and free of air bubbles. Tie ends off and reserve in cooler."
