Field,Value
Recipe Name,Surf & Turf Sauce
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,~5 mins
Dishes,
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber spatula, deli containers"
Allergies,"Gluten/Wheat, Soy, Alcohol, Soy, Fin Fish"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3
Recipe Yield (Batch x2),6
Recipe Yield (Batch x3),9
Recipe Yield (Batch x4),12
=== Ingredients ===,
White Ponzu,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
Sushi Vinegar,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
Tosazu,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
Xanthan Gum,"Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: "
=== Prep Steps ===,
Step 1,Combine all liquids in the vitamix blender and blend on high until homogenous
Step 2,"Add Xanthan slowly, allowing to emulsify and thicken."
Step 3,Reserve in quart containers and store in the cooler.
