Field,Value
Recipe Name,Tomato Vinaigrette
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5days
Stations,Inside Expo
Prep Time,~5 mins
Dishes,Simple Grilled Fish
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber Spatula, whisk, mixing bowl, knife"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),0.66667
Recipe Yield (Batch x2),1.33334
Recipe Yield (Batch x3),2.00001
Recipe Yield (Batch x4),2.66668
=== Ingredients ===,
Sun Dried Tomatoes,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: Aviator Brand"
Tomato Juice,"Unit: gr, Batch x1: 218, Batch x2: 436, Batch x3: 654, Batch x4: 872, Prep/Brand: cans"
Sushi Vinegar,"Unit: gr, Batch x1: 98, Batch x2: 196, Batch x3: 294, Batch x4: 392, Prep/Brand: prepped"
Mother #2,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: prepped"
Toasted Garlic,"Unit: gr, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: prepped"
"Scallion, white (bulb)","Unit: gr, Batch x1: 24, Batch x2: 48, Batch x3: 72, Batch x4: 96, Prep/Brand: "
"Oil, Grapeseed","Unit: gr, Batch x1: 160, Batch x2: 320, Batch x3: 480, Batch x4: 640, Prep/Brand: Spoleto"
"Spice, Aleppo Pepper","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: "
"Herbs, Chives","Unit: gr, Batch x1: 12, Batch x2: 24, Batch x3: 36, Batch x4: 48, Prep/Brand: Minced"
=== Prep Steps ===,
Step 1,"In a vitamix blender, add all ingredients except oil, aleppo, and chives"
Step 2,"Blend on high until smooth, then stream in Grapeseed Oil slowly to emulsify"
Step 3,Turn off blender and reserve to a mixing bowl
Step 4,Add Aleppo Pepper and Chives and mix in with a whisk until homogenous
Step 5,Reserve to quart containers and store in the cooler
