Field,Value
Recipe Name,Filet Skewers
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Pastry/Sushi/Haute
Stations,Garde Manger
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,
Plate Type,
Utensils,
Allergies,"Soy, dairy,  nightshade, capsaicin, Gluten (Wheat), MSG, Allium (onion), Finfish, Mustards"
=== Ingredients ===,
Filet Skewer,"Unit: ea, Qty: 2, Prep: prepped, butchers"
Filet Skewer Crunch,"Unit: g, Qty: 9, Prep: prepped"
Chives,"Unit: g, Qty: 1, Prep: prepped, minced"
Wasabi Soy,"Unit: g, Qty: 15, Prep: prepped, ramekin"
"Bamboo Leaf, halved","Unit: ea, Qty: 1, Prep: "
"Salt, Kosher","Unit: tt, Qty: 0, Prep: Diamond Crystal"
"Spice, Black Pepper Ground","Unit: tt, Qty: 0, Prep: "
"Kobayaki Sauce, thickened","Unit: tt, Qty: 0, Prep: prepped,"
=== Steps ===,
Step 1,"Season filet skewers with salt and pepper, then cook on hot section of plancha using oil"
Step 2,"Sear each side, then dip into a deli of thickened kobayaki sauce"
Step 3,Reserve to a sizzle plate and place in preheated service oven to finish cooking
Step 4,"Remove from oven, re-cover with kobayaki if necessary, then garnish with crunch and chive"
Step 5,"Plate with ramekin on the side, setting skewers against one another to create heighth"
Step 6,Serve immediately.
