Field,Value
Recipe Name,Branzino Herb Oil
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,7 days
Stations,saucier
Prep Time,~15 mins
Dishes,Herb Branzino
Description,
Equipment,"Burner range, High Walled pan, Vitamix Blender"
Kitchen Tools,"deli containers, rubber spatula"
Allergies,Cilantro
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
"Oil, Blended","Unit: gr, Batch x1: 2800, Batch x2: 5600, Batch x3: 8400, Batch x4: 11200, Prep/Brand: Spoleta"
"Herbs, Cilantro","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: fresh herbs"
"Herbs, Chives","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: fresh herbs"
"Herbs, Parsley","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: fresh herbs"
=== Prep Steps ===,
Step 1,Heat oil in a high walled sauce pan until ~265°F
Step 2,"Add herbs, remove from heat and allow to cool.  Can use an ice bath, or reserve to shallow hotel pan in blast chiller."
Step 3,"Once cool, blend in vitamix blender until smooth."
Step 4,Reserve in quart containers in cooler.
