Field,Value
Recipe Name,Wagyu Gyoza Mix
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~3 days
Stations,prep
Prep Time,~30 mins
Dishes,Wagyu Gyoza
Description,
Equipment,hobart stand mixer
Kitchen Tools,"cambro container, rubber spatula"
Allergies,"Allium (Garlic, Onion), Dairy, Sesame (oil), Soy, Gluten (Wheat), Egg, Sulfites, Nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Beef, Australian Wagyu","Unit: gr, Batch x1: 1200, Batch x2: 2400, Batch x3: 3600, Batch x4: 4800, Prep/Brand: ground"
"Beef, Fat","Unit: gr, Batch x1: 300, Batch x2: 600, Batch x3: 900, Batch x4: 1200, Prep/Brand: ground"
"Beef, A5 Wagyu","Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: ground"
"Beef, Angus","Unit: gr, Batch x1: 1200, Batch x2: 2400, Batch x3: 3600, Batch x4: 4800, Prep/Brand: ground"
"Eggs, whole","Unit: ea, Batch x1: 6, Batch x2: 12, Batch x3: 18, Batch x4: 24, Prep/Brand: whole"
Corn Starch,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: Argo"
Wagyu Gyoza Seasoning,"Unit: gr, Batch x1: 2300, Batch x2: 4600, Batch x3: 6900, Batch x4: 9200, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,Mix all ground meats well.  Use a Hobart mixer or similar industrial mixer to help.  Be careful not to overwork protien.
Step 2,Add Egg and Cornstarch and mix well.
Step 3,Incorporate the Wagyu Gyoza Seasoning and mix well.
Step 4,Reserve to appropriate cambro containers and store in cooler until used to produce gyozas.
Step 5,***NOTE: Wagyu should be cold ALWAYS.  Fat should never be rendering.
