Field,Value
Recipe Name,Pasta
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~30 mins
Dishes,various pastas
Description,
Equipment,"burner range, blast chiller"
Kitchen Tools,"tongs, collander, stock pot"
Recipe Yield Unit,
Recipe Yield (Batch x1),
Recipe Yield (Batch x2),
Recipe Yield (Batch x3),
Recipe Yield (Batch x4),
=== Prep Steps ===,
Step 1,36:4:1 salt g to water qt to pasta lb
Step 2,Macaronni: ~ 8 minutes
Step 3,Penne (GF) : ~11 minutes
Step 4,Spaghetti: ~8 minutes
Step 5,"5# of cooked pasta to 4 oz of blended oil, toss together to prevent sticking"
