Field,Value
Recipe Name,Crispy Potato Hash - Large
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,3 DAYS
Stations,SUSHI- MAKI
Prep Time,35 mins
Dishes,various
Description,
Equipment,MANDOLIN WITH COARSE TEETH
Kitchen Tools,"MIXING BOWL, LARGE STRAINER"
Allergies,FRYER CC ISSUES
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
RUSSET POTATO,"Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: LARGE SHRED"
"SALT, KOSHER","Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: "
"PEPPER, BLACK GROUND","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: "
=== Prep Steps ===,
Step 1,"PEEL POTATOES, SLICE WITH MANDOILIN APPROX 2MM IN WIDTH"
Step 2,"PLACE IN STRAINER AND RUN UNDER WATER TO RELEASE STARCH, TURNING OCCASIONALLY"
Step 3,"STRAIN TO DRY, "
Step 4,FRY AT 320 DEGREES UNTIL CRISP AND LIGHT GOLDEN
Step 5,STRAIN OIL WELL AND TOSS WITH SALT AND BLACK PEPPER.
Step 6,"WHEN COOLED COMPLETELY, STORE IN QT DELIS WITH SILICATE PACKETS FOR FRESHNESS."
