Field,Value
Recipe Name,Crispy Potato Hash - Fine
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,3 DAYS
Stations,SUSHI- MAKI
Prep Time,
Dishes,
Description,
Equipment,MANDOLIN WITH FINE TEETH
Kitchen Tools,"MIXING BOWL, LARGE STRAINER"
Allergies,"FRYER CC ISSUES, CAPCASIN"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
RUSSET POTATO,"Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: SMALL SHRED"
"SALT, KOSHER","Unit: gr, Batch x1: 25, Batch x2: 50, Batch x3: 75, Batch x4: 100, Prep/Brand: "
ICHIMI TOGARASHI,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
=== Prep Steps ===,
Step 1,"PEEL POTATOES, SLICE WITH MANDOILIN APPROX 0.7MM IN WIDTH"
Step 2,"PLACE IN STRAINER AND RUN UNDER WATER TO RELEASE STARCH, TURNING OCCASIONALLY"
Step 3,"STRAIN TO DRY, "
Step 4,FRY AT 320 DEGREES UNTIL CRISP AND LIGHT GOLDEN
Step 5,STRAIN OIL WELL AND TOSS WITH SALT AND ICHIMI TOGARASHI.
Step 6,"WHEN COOLED COMPLETELY, STORE IN QT DELIS WITH SILICATE PACKETS FOR FRESHNESS."
