Field,Value
Recipe Name,Chili Oil
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,2 weeks
Stations,Various
Prep Time,~1 hour
Dishes,Various
Description,
Equipment,"Robot Coupe, Burner Range"
Kitchen Tools,"Saute Pan, Rondeaux or Stock Pot, China Cap,
Chinois, Cheese Cloth"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Chili, Dried Guajillo","Unit: gr, Batch x1: 1400, Batch x2: 2800, Batch x3: 4200, Batch x4: 5600, Prep/Brand: dried chilis, seeded"
"Chili, Dried Ancho","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: dried chilis, seeded"
"Spice, Black Peppercorns whole","Unit: gr, Batch x1: 60, Batch x2: 120, Batch x3: 180, Batch x4: 240, Prep/Brand: spice, dry"
"Spice, Cayanne Pepper","Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: spice, dry"
"Spice, Paprika","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: spice, dry"
"Spice, Gochugaru Korean Chili Flake","Unit: gr, Batch x1: 414, Batch x2: 828, Batch x3: 1242, Batch x4: 1656, Prep/Brand: spice, dry"
Garlic,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: fresh, whole"
"Oil, Canola","Unit: lbs, Batch x1: 35, Batch x2: 70, Batch x3: 105, Batch x4: 140, Prep/Brand: Super Chef Frying Canola Oil"
=== Prep Steps ===,
Step 1,Seed the dried chilis
Step 2,"In a dry saute pan, toast all the chilis.  Grind to powder in a robot coupe"
Step 3,"In a large rondeaux or stock pot, add all ingredients and slowly simmer for ~35 mins"
Step 4,Let cool to room temperature then strain through descending sized seivs (china cap > chinois > cheese cloth)
Step 5,Store in appropriate sized containers in the cooler.
