Field,Value
Recipe Name,Vegan Spicy Mayo
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,1 week
Stations,Fryer
Prep Time,~10 mins
Dishes,Crispy Cauliflower
Description,
Equipment,"Immersion Blender, scale"
Kitchen Tools,"Mixing Bowl, Spatula, Quart Deli Containers"
Allergies,"Nightshade, MSG, Allium (Garlic, Onion), Soy"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1.5
Recipe Yield (Batch x2),3
Recipe Yield (Batch x3),4.5
Recipe Yield (Batch x4),6
=== Ingredients ===,
Vegan Mayo,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: Veganaise"
Sriracha,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Tuong Ot "
Sweet Chili,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Mae Ploy"
Agave Syrup,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: CRC Organic Agave Nectar Light"
Tasty Salt,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: prepped"
Sambal Chili Paste,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Sambal Olek"
EVOO,"Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: Spoleto"
Vegatable Umami Sauce,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Yondu"
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"Place all ingredients in a mixing bowl or similar vessel, and use the large immersion blend to mix"
Step 2,"Ensure the sauce aerates as it is blended, it should more or less double in volume"
Step 3,Taste and adjust seasoning as necessary
Step 4,Reserve to quart containers in the cooler.
