Field,Value
Recipe Name,Wagyu Fried Rice
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Wok
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"B&B w/ Liner, Ramekins, Bimpbap Bowl, Wooden Plate"
Plate Type,
Utensils,"spoon, ramekins"
Allergies,"Allium (onion, garlic), Ginger, Soy, Gluten (Wheat), Nightshade, Capsaicin, Cilantro, Sesame, Mustards, Pork, Mushroom"
=== Ingredients ===,
Wagyu Block (Australian Wagyu Striploin),"Unit: g, Qty: 56, Prep: prepped"
Wagyu Rice,"Unit: g, Qty: 250, Prep: prepped"
"Pea, Sugar Snap","Unit: g, Qty: 28, Prep: prepped, 1/4in dice"
Chinese Sausage,"Unit: g, Qty: 28, Prep: prepped, 1/4in dice"
Shitake Mushroom,"Unit: g, Qty: 28, Prep: prepped, 1/4in dice"
Carrot,"Unit: g, Qty: 28, Prep: prepped, 1/4in dice"
"Onion, Spanish white","Unit: g, Qty: 28, Prep: prepped, 1/4in dice"
Garlic,"Unit: g, Qty: 10, Prep: prepped, minced"
Ginger,"Unit: g, Qty: 10, Prep: prepped, minced"
"Herbs, basil","Unit: g, Qty: 1, Prep: prepped, chiffonade"
"Herbs, cilantro","Unit: g, Qty: 1, Prep: prepped, chiffonade"
"Herbs, parsley","Unit: g, Qty: 1, Prep: prepped, chiffonade"
Scrambled Eggs,"Unit: g, Qty: 200, Prep: prepped, soft scramble"
"Negi, sliced","Unit: g, Qty: 10, Prep: prepped"
Magic Soy,"Unit: g, Qty: 28, Prep: prepped"
Crispy Furikake,"Unit: g, Qty: 20, Prep: prepped"
"Egg, Sunnyside","Unit: ea, Qty: 1, Prep: AA Large"
Amazu Ponzu Sauce,"Unit: g, Qty: 28, Prep: prepped"
Chili Garlic Crunch,"Unit: g, Qty: 10, Prep: S&B"
"Spice, Togarashi Schichimi","Unit: g, Qty: 10, Prep: S&B"
=== Steps ===,
Step 1,"Preheat the wok., soft scramble eggs in a nonstick skillet, Cook sunnyside egg in other skillet"
Step 2,Add the ingredient #3-7 to wok.  Cook together using beef fat to saute in.
Step 3,"Once onions and carrots begin to sweat, add garlic and ginger"
Step 4,"Once aromatic, sausage has developed colour, add the rice (break up clumps first)"
Step 5,"Use woke ladle to spread into a single layer to cook rice evenly, then toss and spread again"
Step 6,"Once rice has begun to fry and mix with ingredients and is warmed, season with Magic Soy"
Step 7,"Continue tossing and add herbs, and add the scrambled egg last"
Step 8,"Place into warmed Bimpbap Stone Bowl, packed lightly but evenly"
Step 9,"Coordinate with plancha station to cook wagyu beef; cube into 8 pieces, garnish around egg"
Step 10,"Place negi in a single pile, sprinkle Amazu Ponzu around egg and beef."
Step 11,Serve immediately.
Step 12,"Serve with Togarashi and Chili Garlic Crunch on the side, mix tableside."
