Field,Value
Recipe Name,Toasted Garlic
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,
Kitchen Tools,
Allergies,Allium (Garlic)
Recipe Yield Unit,QT
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
"Garlic, Peeled whole Cloves","Unit: gr, Batch x1: nan, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: chopped, robot coupe"
"Oil, Fryer Canola (6 qts)","Unit: gr, Batch x1: 5678.0, Batch x2: 11356, Batch x3: 17034, Batch x4: 22712, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a robot coup,  chop garlic to a mince"
Step 2,"Add garlic and oil to a hotel oven, ensuring the oil covers the garlic fully."
Step 3,"In a deck oven set to ~500°F, toast the garlic very similarly to garlic confit"
Step 4,"After ~ 45 minutes, stir the garlic and check the cook."
Step 5,"Cook for an additional ~45 minutes, or until garlic is very fragrant and has browned sufficiently."
Step 6,"Cool to room temp, then strain the garlic solids from the oil."
Step 7,"Reserve oil in quart containers, reserve garlic solids in separate quart containers."
Step 8,Chill in blast chiller and reserve in cooler
