Field,Value
Recipe Name,Citrus Garlic Vinaigrette
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,
Kitchen Tools,
Allergies,"Allium (garlic), soy, gluten (wheat), citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Tosazu,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: prepped"
Yuzu Juice,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Muen Yuzuya Yuzu Juice"
Sushi Vinegar,"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: prepped"
"Garlic, oroshi","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: fresh grated"
"Oil, Grapeseed","Unit: gr, Batch x1: 125, Batch x2: 250, Batch x3: 375, Batch x4: 500, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"Using a microplane, grate garlice into a fine paste. "
Step 2,"Place garlic oroshi, yuzu juice, sushi vinegar, and tosazu into a mixing bowl and combine with a whisk."
Step 3,"While whisking, add in grapeseed oil in a steady slow stream to emulsify."
Step 4,Reserve in a quart container and store in the cooler
