Field,Value
Recipe Name,Kale Pesto
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Expo / Runners
Prep Time,~15 minutes
Dishes,Simple Grilled Fish
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Blanching pot, ice bath, rubber spatula, knife, 
deli containers."
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Kale, ribs removed","Unit: gr, Batch x1: 455, Batch x2: 910, Batch x3: 1365, Batch x4: 1820, Prep/Brand: "
"Nuts, Pistachios","Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: "
Shallots,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: "
"Sugar, granulated","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: "
"Lemon, Juice","Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: "
"Oil, Grapeseed","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: "
=== Prep Steps ===,
Step 1,Remove ribs from kale and rough chop
Step 2,"Blanch Kale in boiling water, shock in ice water."
Step 3,Drain and squeeze the kale dry of all excess water
Step 4,"Blend in a vitamix with the shallots, salt, sugar, and lemon juice."
Step 5,"Use some of the grapeseed oil to assist in blending, using the vitamix plunger or a ladle to work product into a vortex"
Step 6,"Slowly add the pistachios, then pour in the remaining grapeseed oil to emulsify."
Step 7,Reserve to quart containers and cool in the blast chiller or an ice bath
Step 8,Store in the cooler.
