Field,Value
Recipe Name,Grilled Spanish Octopus
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Haute
Stations,Plancha
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,8 minutes
Plating Instructions,white octopus plate
Plate Type,
Utensils,
Allergies,"Mollusk (octopus), allium (garlic, onions), nightshade, capsaicin, Dairy, Alcohol, Citrus, Egg, "
=== Ingredients ===,
"Octopus Confit, portioned","Unit: oz, Qty: 3.5, Prep: prepped"
Fingerling Potatoe Confit,"Unit: oz, Qty: 4.0, Prep: prepped"
Grilled Scallions,"Unit: g, Qty: 10.0, Prep: prepped"
House Aioli,"Unit: g, Qty: 10.0, Prep: prepped"
"Herbs, Parsley","Unit: g, Qty: 1.0, Prep: prepped, chiffonade"
Hellfire Sauce,"Unit: g, Qty: 8.0, Prep: prepped"
Sofrito Sauce,"Unit: g, Qty: 25.0, Prep: prepped"
"Herbs, micro (rainbow mix)","Unit: g, Qty: 1.0, Prep: "
=== Steps ===,
Step 1,"On the plancha, charr the octopus portion until heated thoroughly."
Step 2,"As octopus finishes cooking, re-sear the grilled scallions"
Step 3,"Coordinate with fry station to drop the fingerlings, smashed, in fryer to crisp and heat thoroughly"
Step 4,"In a small mixing bowl, toss fingerling potatoes and house aioli with salt and parsley"
Step 5,"On the plate, swipe the sofrito in an even, curled stripe on one side of the plate"
Step 6,"Plate potatoes on the sofrito, then top with octopus in a line"
Step 7,"Garnish with grilled scallions, then top with hellfire sauce and rainbow mix micros"
Step 8,Serve immediately
