Field,Value
Recipe Name,Spicy Salmon Mix
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,15 ins
Dishes,various
Description,
Equipment,
Kitchen Tools,"large mixing bowl, rubber spatula, pastry bags"
Allergies,"finfish (Salmon), fish roe, allium (onion), capsaicin, eggs, nightshade"
Recipe Yield Unit,gr
Recipe Yield (Batch x1),2500
Recipe Yield (Batch x2),5000
Recipe Yield (Batch x3),7500
Recipe Yield (Batch x4),10000
=== Ingredients ===,
"Salmon, ground","Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: ground, fresh"
"Spice, Black Pepper Ground","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: ground, seived"
"Salt, Kosher","Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Diamond Crystal"
"Tobiko, orange","Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: "
"Herbs, chives","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: herb, fresh, chopped"
Sriracha,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Tuong Ot Sriracha Hot Sauce"
Spicy Mayo,"Unit: gr, Batch x1: 450, Batch x2: 900, Batch x3: 1350, Batch x4: 1800, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,"In a large mixing bowl, combine all ingredients until homogenous and seasoned thoroughly"
Step 2,Reserve in pastry piping bags and keep in a cooler
Step 3,NOTE: All ground black pepper needs to be seived first before adding to avoid large pieces of peppercorn
