Slide #,Title,category,description,dropline,components,ingredients,allergies,notes,mise
47,“Hit Me” Chocolate Cake,desserts,"Four-Layer Tower: Top Layer: Liquid Klondike Bar filled with a White Chocolate Ganache Top Second: Gluten Free Devil’s Food Cake Middle: Dulce De Leche Ice Cream Bottom: Gluten Free Chocolate Brownie Served with a Bourbon Chocolate Ganache, garnished with our signature chocolate #HitMe",“Hit Me Chocolate Cake with Liquid Klondike and a Bourbon Ganache” Chef recommends using the side of the spoon to **HIT** the Liquid Klondike Bar **hit with the side of spoon**,,,Eggs / Dairy / Alcohol,,
29,A5 Wagyu Gyoza,hot_starters,Description Housemade (4 PC) A5 Japanese Wagyu Beef dumplings are pan-seared until golden brown. The dumplings are served in Amazu Ponzu sauce and garnished with thinly sliced Serrano pepper and micro cilantro. ,“Wagyu Gyozas with Amazu Ponzu and Serrano Chiles”,"Dumpling Mix : A5 Wagyu (mix of kobe, olive beef, and snow beef), Soy Sauce, Sesame, Garlic, White Button Mushroom, Ginger, Scallion, Egg, Panko Breadcrumbs. Amazu Ponzu : Sushi Vinegar, Soy Sauce, Mirin, Lemon Juice, Serrano Chile, Red Onion, Cilantro, Sugar.","Protein: A5 Japanese Wagyu Beef Preparation: Pan Seared Sauce: Amazu Ponzu Side: Garnish: Serrano Pepper, Micro Cilantro","Gluten / Soy / Seeds / Eggs / Alcohol / Allium (Garlic, Onion) / MSG / Peppers / Citrus / Nightshade / Mushroom",No Substitutions,
31,Baked King Crab Hand Rolls,hot_starters,"Description Alaskan King Crab salad is topped with Crispy Shoestring Potatoes and Chives, then wrapped with Sesame Soy paper and Sushi Rice and baked to order.","“Baked King Crab Hand Rolls with Crispy Potatoes, Chef recommends to enjoy while it’s hot”","King Crab Salad : King Crab, Kanikama, Dynamite Sauce Dynamite Sauce : Kewpie Mayo, Togarashi, Honey, Mirin","Protein: Alaskan King Crab Preparation: Baked Sauce: Dynamite Sauce Side: Garnish: Crispy Shoestring Potato, Chives","Gluten / Soy / Seeds / Eggs / Fin Fish / Shellfish / Alcohol / Allium (Garlic, Onion) / MSG / Citrus / Honey / Nightshade (Peppers) / Sesame",2 piece min,
5,Caesar Salad,salads,"Description Romaine lettuce mixed with house Caesar Dressing accompanied with Garlic Focaccia Croutons and soft poached eggs (seasoned with paprika). Finished with Parm snow, a drizzle of egg yolk jam and Parmesan Frikka (parmesan crisps).","“Caesar Salad with Focaccia Garlic Croutons, Parmesan Frikka and Soft Boiled Egg””"," Garlic Focaccia Croutons: marinated in garlic butter, oven-toasted to order and garnished on top/outside of the salad. Caesar Dressing: Grapeseed Oil, Olive Oil, Lemon Juice, Anchovies, Dijon Mustard, Parmesan, Pasteurized Yolk, Garlic, Salt","Protein: Baby Romaine Preparation: Mixed Sauce: Caesar Dressing Side: Garlic Focaccia Croutons, Soft Poach Eggs Garnish: Parmesan Snow & Parmesan Frikka","Shellfish (Anchovies) / Alcohol (Mignonette) / Allium (Garlic, Onion) / Citrus / Nightshade (Chili Pepper, Ketchup) / Fin Fish (Worcestershire) / Soy",Gluten is in croutons (removable). Nightshade (Chili Pepper) is in the paprika (removable) on the eggs. Eggs and Egg Yolk Jam also removable.,
36,Center-Cut Filet,steak,"8oz. Filet from Dakota City, Nebraska, seasoned with seasoned with sea salt and Madagascar black pepper. Served with blistered Shishito Peppers and charred Vine Tomatoes. Finished with clarified butter. This is our only steak that does not come pre-sliced! (can sliced for tables that are sharing)","""(Insert Temp) Center-Cut Filet”","Components Blistered Shishito Peppers, Charred Vine Tomatoes ","Protein: 8oz Filet Preparation: Grilled Sauce: Steak Sauce, Truffle Butter, Chili Butter (up-charge) Side: Blistered Shishito Peppers & Vine Tomatoes Garnish: Clarified Butter & Maldon Salt","Nightshade (Tomatoes, Peppers) / Dairy (Removable) / Peppercorn",,"Steak Knife, Fork"
23,Classic Cut Rolls,rolls,"6 pieces per order: With Gluten (Soy, in Mix): Spicy Yellowtail Mix - $16 Spicy Tuna Mix - $16 Classic California Roll - $ Gluten-Free: Tuna + Avocado - $16 Tuna + jalapeño - $16 Salmon + Avocado - $16 Salmon + jalapeño - $16 Yellowtail (Hamachi) + Avocado - $16 Yellowtail (Hamachi) + Jalapeño - $16 Cucumber Sesame - $15 Truffle Avocado - $15 Note: Can add jalapeño to most fish for gluten-free spicy option ",,,,Gluten / Soy / Seeds / Eggs / Fin Fish / Alcohol / MSG / Shellfish / Citrus / Honey / Nightshade (Peppers),"Chopsticks, Soy Sauce, Soy Ramekin",
44,Creamy Basmati Rice,sides,"Description Basmati Rice cooked in cream reduction mixed with Butternut Squash, Artichoke, Tomato & Lemon Confit, garnished with Parsley & Chives. ",Dropline “Creamy Basmati Rice with Lemon Confit”,"Components Cream Reduction: Cream, Lemon Confit, Butter, White ***Distilled Vinegar + Heavy Cream.",,Dairy / Citrus / Nightshade/ Honey,,
46,Crispy Brussels Sprouts,sides,"Description Brussels Sprouts fried to order. Tossed in a yuzu calamansi vinaigrette, finished with dry miso, pomegranate seeds, garnished with chives. ",Dropline “Crispy Brussels Sprouts with Yuzu Calamansi Vinaigrette”,"Yuzu Calamansi Vin: Yuzu, Calamansi, Honey, E.V.O.O.",,Gluten (CC) / Shellfish CC / Citrus / Soy,,
4,East Coast Oysters,snacks,"Description 1/2 Dozen East Coast Oysters served on the half shell over crushed ice. They are accompanied by Red Wine Mignonette, classic Cocktail Sauce and garnished with fresh lemon wedges. ",“East Coast Oysters with Cocktail Sauce and Red Wine Mignonette” From: Prince Edward Island,"Red Wine Mignonette : Finely minced shallot, Soy, Yuzu, Rice Wine Vinegar and Aji Amarillo. Cocktail Sauce: Ketchup, Tabasco, Worcestershire Sauce, Lemon Juice, Grated Horseradish, White Vinegar, Garlic.",,"Shellfish / Alcohol (Mignonette) / Allium (Garlic, Onion) / Citrus / Nightshade (Chili Pepper, Ketchup) / Fin Fish (Worcestershire) / Soy",,
15,Golden A5 Nigiri,japan,½ oz of lightly seared Japanese Miyazaki A5 Wagyu brushed Nikiri Soy over sushi rice with Kaluga Caviar and Gold Dust.,"“A5 Wagyu Nigiri with Nikiri Soy, Caviar and Gold Flake”","Nikiri Soy (House Soy Blend): Sake, Mirin and soy infused with Bonito flake and kombu seaweed Gold Dust: Food grade gold used for decoration. It is odorless, tasteless and will not react during digestion.",,Gluten / Soy / Finfish / Fish Eggs / Beef (Wagyu) Alcohol (Mirin in Sushi Rice) / Ginger,,
