Field,Value
Recipe Name,Chicken Stock
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,"Entremet, saucier"
Prep Time,~2 hours
Dishes,"Basmati Rice, various prep"
Description,
Equipment,"Tilt Skillet, Convection or Deck Oven"
Kitchen Tools,"Tilt Skillet Paddle, Chinois, Resting Racks, 
Cambro containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),44
Recipe Yield (Batch x2),88
Recipe Yield (Batch x3),132
Recipe Yield (Batch x4),176
=== Ingredients ===,
Chicken Bones,"Unit: lbs, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: "
"Water, Cold","Unit: qt, Batch x1: 66, Batch x2: 132, Batch x3: 198, Batch x4: 264, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
"Onion, Spanish White - fresh","Unit: gr, Batch x1: 10000, Batch x2: 20000, Batch x3: 30000, Batch x4: 40000, Prep/Brand: fresh"
"Carrots, jumbo","Unit: gr, Batch x1: 3600, Batch x2: 7200, Batch x3: 10800, Batch x4: 14400, Prep/Brand: rough chop"
"Herbs, Thyme","Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: "
"Spice, Black Peppercorn Whole","Unit: gr, Batch x1: 140, Batch x2: 280, Batch x3: 420, Batch x4: 560, Prep/Brand: "
"Herbs, Dried Bay Leaf","Unit: gr, Batch x1: 5, Batch x2: 10, Batch x3: 15, Batch x4: 20, Prep/Brand: "
Garlic,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: fresh"
=== Prep Steps ===,
Step 1,"In a ~350°F oven, roast chicken bones until lightly coloured."
Step 2,"Set heat on tilt skillet to ~325°F and add onions, carrots, and garlic, and saute until lightly sweated"
Step 3,Add chicken bones and add cold water.  Raise heat on tilt skillet to full (~425°F) and bring to boil
Step 4,"Once boiled, add herbs and spices and reduce heat so that it stays at a light simmer, ~300°F"
Step 5,"Simmer the stock for ~45-90 minutes, or until the stock is flavorful and fragrant."
Step 6,"Strain from the tilt skillet using sheet tray resting racks in the skillet, and a chinois over the new container."
Step 7,Squeeze the bones and vegetables for excess water before discarding.
Step 8,Stock should be reserved to 22 qt cambros and chilled in blast chiller or ice baths.
Step 9,"Once cool, reserve to the cooler over night.  All fats should rise to the top as it cools - reserve fat for chicken jus recipe."
