Field,Value
Recipe Name,Spicy Tuna Mix
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,2 days
Stations,sushi
Prep Time,20 minutes
Dishes,various
Description,
Equipment,Meat grinder
Kitchen Tools,"Mixing bowl (large), rubber spatula, pastry bags"
Allergies,"Finfish (Tuna), Capsaicin, Allium (onions), Cilantro, Nightshade, Eggs, MSG"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Tuna, ground","Unit: gr, Batch x1: 3500, Batch x2: 7000, Batch x3: 10500, Batch x4: 14000, Prep/Brand: 80:20 Mix Yellowfin to Bluefin"
"Herbs, Chives","Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: herbs, fresh, brunoise"
"Tobiko, Orange","Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: Diamond Crystal"
"Spice, Black Pepper Ground","Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: spice, dry"
Sriracha,"Unit: gr, Batch x1: 125, Batch x2: 250, Batch x3: 375, Batch x4: 500, Prep/Brand: Tuong Ot Sriracha"
Spicy Mayo,"Unit: gr, Batch x1: 1400, Batch x2: 2800, Batch x3: 4200, Batch x4: 5600, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,"In a large mixing bowl, add all ingredients and mix until homogenous and seasoned thoroughly"
Step 2,"When mixing, the tuna will tighten as it is more thoroughly mixed.  It should be mixed to just before the oil seperates."
Step 3,Portion into pastry piping bags and reserve in the cooler.
