Field,Value
Recipe Name,Lemon Vinaigrette
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~5 mins
Dishes,Whole Roasted Branzino
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Microplane zester, citrus squeeze, knife, 
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Lemon, zest","Unit: gr, Batch x1: 48, Batch x2: 96, Batch x3: 144, Batch x4: 192, Prep/Brand: fresh, zested"
Honey,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Bear's Club Honey"
"Oil, Blended","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Spoleto"
"Salt, Kosher","Unit: gr, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: Diamond Crystal"
"Mustard, Dijon","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Maille Dijon"
EVOO,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Spoleto"
"Lemon, juice","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Fresh, squeezed juice"
=== Prep Steps ===,
Step 1,"In a vitamix blender, add all ingredients except the EVOO and Blended Oil."
Step 2,Blend on high until homogenous
Step 3,"While blending, slowly add both oils to emulsify"
Step 4,Reserve to quart containers and store in the cooler
