Field,Value
Recipe Name,Pine Nut AgrodolcePin
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,5 days
Stations,prep
Prep Time,~25 minutes
Dishes,Salmon Agrodolce
Description,
Equipment,"Robot Coup, burner range"
Kitchen Tools,"Sheet trays, rondeau or sautee pan, mixing bowls, deli containers."
Allergies,"Tree Nuts (pine nuts), Dairy, Citrus"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1.5
Recipe Yield (Batch x2),3
Recipe Yield (Batch x3),4.5
Recipe Yield (Batch x4),6
=== Ingredients ===,
"Nuts, Pine (raw)","Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: "
"Butter, unsalted","Unit: gr, Batch x1: 226, Batch x2: 452, Batch x3: 678, Batch x4: 904, Prep/Brand: "
Golden Raisins,"Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: "
"Oil, Lemon","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
"Lemon, zest","Unit: gr, Batch x1: 6, Batch x2: 12, Batch x3: 18, Batch x4: 24, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: "
"Spice, Black Peppercorn Whole","Unit: gr, Batch x1: 3, Batch x2: 6, Batch x3: 9, Batch x4: 12, Prep/Brand: "
"Spice, Espelette","Unit: gr, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a large rondeau or saute pan, toast the pine nuts in the butter until golden brown."
Step 2,"Remove from heat, strain and reserve the butter and pine nuts seperately.  Cool pine nuts on sheet tray."
Step 3,"In a robot coup, process half of the pine nuts just before it begins to cream (should be crumbles still)"
Step 4,Combine the whole and processed pine nuts in a mixing bowl.
Step 5,"In a robot coup, process the raisins, then add to the mixing bowl with the pine nuts"
Step 6,"Add all other ingredients, including reserved butter."
Step 7,"Mix with gloved hands, ensure raisins are broken up and mixture is homogenous."
Step 8,Reserve in quart containers and store in the cooler.
