Field,Value
Recipe Name,Teriyaki Sauce
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Expo / Runner
Prep Time,~45 mins
Dishes,A5 Hot Rock
Description,
Equipment,Burner Range
Kitchen Tools,"Sauce pan, knife, rubber spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),5
Recipe Yield (Batch x2),10
Recipe Yield (Batch x3),15
Recipe Yield (Batch x4),20
=== Ingredients ===,
Soy,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Kikkoman, Low Sodium"
Sugar,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Domino"
Mirin,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Takara"
Garlic,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: fresh, minced"
Sake,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Takara"
=== Prep Steps ===,
Step 1,"In a pan, flambe sake first"
Step 2,"Add sugar, mirin, soy and garlic and bring to a simmer."
Step 3,Cook at simmer for ~45 minutes
Step 4,Reserve to quart containers and cool in the blast chiller or an ice bath
Step 5,Store in the cooler.
