Field,Value
Recipe Name,Crispy Chicken
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~3 days
Stations,prep
Prep Time,~30 mins
Dishes,Crispy Chicken
Description,
Equipment,immersion blender
Kitchen Tools,"Hotel pans, sheet tray"
Allergies,"Dairy, Nightshade, Allium (garlic, onion), Egg, Gluten (Wheat)"
Recipe Yield Unit,ea
Recipe Yield (Batch x1),15
Recipe Yield (Batch x2),30
Recipe Yield (Batch x3),45
Recipe Yield (Batch x4),60
=== Ingredients ===,
"Chicken, breast airline - brined/stuffed","Unit: ea, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: prepped"
"Eggs, Large whole","Unit: ea, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: AA Large"
"Flour, All Purpose","Unit: gr, Batch x1: 580, Batch x2: 1160, Batch x3: 1740, Batch x4: 2320, Prep/Brand: Sir Galahad"
"Salt, Kosher","Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Diamond Crystal"
Breadcrumbs,"Unit: tt, Batch x1: 0, Batch x2: 0, Batch x3: 0, Batch x4: 0, Prep/Brand: Panko (Japanese Breadcrumbs)"
=== Prep Steps ===,
Step 1,"In a mixing bowl, combine the eggs, AP Flour, and Salt using an immersion blender until fully smooth and homogenous"
Step 2,"Set up a 2 step breading station - one hotel pan for batter, and one hotel pan for panko breadcrumbs"
Step 3,"With one hand, hold the chicken by the airline bone and dip into the wet batter.  Shake excess batter."
Step 4,"Transfer to the panko, ensuring as little drippage as possible, and use the other hand to pat the panko into the breading."
Step 5,Reserve on sheet tray lined with parchment.
Step 6,"Reserve in cooler on speed rack, covered with another sheet tray or lexon lid."
