Field,Value
Recipe Name,Grilled Scallions
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~10 minutes
Dishes,Grilled Octopus
Description,
Equipment,Plancha or Flat top grill
Kitchen Tools,"Tweezers or tongs, mixing bowl, sheet trays"
Allergies,Allium (Onion)
Recipe Yield Unit,QT
Recipe Yield (Batch x1),3
Recipe Yield (Batch x2),6
Recipe Yield (Batch x3),9
Recipe Yield (Batch x4),12
=== Ingredients ===,
"Onion, Green (Scallions)","Unit: case, Batch x1: 0.5, Batch x2: 1, Batch x3: 1.5, Batch x4: 2, Prep/Brand: fresh, cleaned"
"Salt, Kosher","Unit: gr, Batch x1: 20.0, Batch x2: 40, Batch x3: 60.0, Batch x4: 80, Prep/Brand: Diamond Crystal"
"Spice, Black Peppercorn","Unit: gr, Batch x1: 10.0, Batch x2: 20, Batch x3: 30.0, Batch x4: 40, Prep/Brand: "
"Oil, Blended","Unit: gr, Batch x1: 100.0, Batch x2: 200, Batch x3: 300.0, Batch x4: 400, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,"Clean scallions, removing outside dirty layers and rinsing thoroughly."
Step 2,"In a mixing bowl, season with oil and salt and pepper."
Step 3,"Pre-heat a plancha or similar flat cookware surface to a medium-high heat and season with a layer of oil, wiped off."
Step 4,"Place seasoned scallions on plancha in a single, flat layer."
Step 5,Flip after ~2 mins or once they have colour.
Step 6,"Remove after second side has colour, reserving to a sheet tray to cool"
Step 7,"Once cooled, cut into 3 inch lenth sections and reserve in quart containers"
Step 8,Store in the cooler.
