Field,Value
Recipe Name,Truffle Ponzu
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,~5 mins
Dishes,
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber Spatula, Deli Containers"
Allergies,"Soy, Wheat/Gluten, Citrus, Alcohol, MSG, Mushroom, Seafood"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Tosazu,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
"Oil, Truffle Black","Unit: gr, Batch x1: 229, Batch x2: 458, Batch x3: 687, Batch x4: 916, Prep/Brand: Dolce Nero"
=== Prep Steps ===,
Step 1,"In a vitamix blender, blend ingredients until fully combined."
Step 2,Quickly transfer to quart containers to ensure equal distribution of oil to sauce
Step 3,Reserve in the cooler.
