Field,Value
Recipe Name,Wagyu Rice
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~45 mins
Dishes,Wagyu Fried Rice
Description,
Equipment,"Zojirushi Rice Cooker, Blast Chiller"
Kitchen Tools,"Rice nets, rice strainers, sheet trays"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Rice,"Unit: gr, Batch x1: 2400, Batch x2: 4800, Batch x3: 7200, Batch x4: 9600, Prep/Brand: Tamanishiki"
Water,"Unit: gr, Batch x1: 2250, Batch x2: 4500, Batch x3: 6750, Batch x4: 9000, Prep/Brand: "
"Oil, Canola Fryer","Unit: gr, Batch x1: 75, Batch x2: 150, Batch x3: 225, Batch x4: 300, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a rice net or large strainer, rinse the rice until clear.  Should be ~3 rinses depending on crop and starch levels."
Step 2,"Replace rice, drained, to rice cookers lined with rice nets.  Add oil and water and loosely cover the top with the nets."
Step 3,"Cook in Zojirushi rice cookers (automatic cooking timer) for ~45 minutes or until changed from ""Cook"" to ""Warm"""
Step 4,Remove rice from cooker and spread on sheet trays to cool to room temp.
Step 5,"Once all steam has left, reserve in blast chiller to finish cooling."
Step 6,"Once fully cooled, reserve in hotel pans in the cooler."
