Field,Value
Recipe Name,Chicken Jus
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo
Prep Time,~3-4 hours (2-3 day process)
Dishes,"Crispy Chicken, Wagyu Gyoza"
Description,
Equipment,"Stock pot and burner range,  or Tilt Skillet"
Kitchen Tools,"Chinois, 12 qt cambro, whisk, small mixing bowl, 
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),10
Recipe Yield (Batch x2),20
Recipe Yield (Batch x3),30
Recipe Yield (Batch x4),40
=== Ingredients ===,
Chicken Feet,"Unit: lbs, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: slacked, roasted to dark brown"
Chicken Back Bones,"Unit: lbs, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: slacked, roasted to dark brown"
Chicken Stock,"Unit: qt, Batch x1: 44, Batch x2: 88, Batch x3: 132, Batch x4: 176, Prep/Brand: prepped"
"Carrot, jumbo","Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: chopped, roasted to dark brown"
"Onions, white spanish ","Unit: gr, Batch x1: 4000, Batch x2: 8000, Batch x3: 12000, Batch x4: 16000, Prep/Brand: chopped, roasted to dark brown"
Celery,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: chopped, roasted to dark brown"
Chicken Powder,"Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Knorr Chicken Flavor Broth"
Chicken Fat (Reserved from Chicken Stock),"Unit: gr, Batch x1: 2720, Batch x2: 5440, Batch x3: 8160, Batch x4: 10880, Prep/Brand: prepped, from stock"
Mother #2,"Unit: gr, Batch x1: 240, Batch x2: 480, Batch x3: 720, Batch x4: 960, Prep/Brand: prepped"
"Salt, kosher","Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: Diamond Crystal"
"Herbs, Thyme","Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: herbs, fresh"
"Herbs, Parsley","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: herbs, fresh"
Shallot,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: fresh"
"Herbs, Dry Bay Leaf","Unit: gr, Batch x1: 24, Batch x2: 48, Batch x3: 72, Batch x4: 96, Prep/Brand: herbs, dried"
Water,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Argo"
Corn Starch,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a ~400°F Convection Oven, roast the 1,2,4,5, and 6 ingredients until dark brown but not burnt"
Step 2,"Transfer to tilt skillet omitting fat, and cover with Ingredient 3 (Chicken Stock), heat at 425°F, and bring to a boil"
Step 3,Reduce heat to 325°F and reduce volume by half
Step 4,"Once reduced, strain stock from tilt skillet and squeeze bones and veg for all liquid.  Should result in 22qt yield"
Step 5,"Reserve Browned Stock overnight, skim excess fat on top next day before returning to tilt skillet."
Step 6,"Make a sachet of the herbs (bay leaf, thyme, parsley) and bring the Browned Stock to a boil then reduce heat and simmer"
Step 7,"Reduce Browned stock to 10qt, then remove sachet."
Step 8,"Once reduced, add chicken fat, Mother #2, and Chicken Powder.  Ensure ingredients are thoroughly mixed."
Step 9," Mix water and corn starch into a slurry, then slowly add to the fortified and reduced Browned Stock, mixing while pouring"
Step 10,"Once the starch has activated and is thoroughly mixed in, ~10 minutes boil, strain through a chinois x3 times."
Step 11,Reserve in a 12 quart cambro and cool in the blast chiller or ice bath.
Step 12,Reserve in a quart containers and store in the cooler or freezer.
