Field,Value
Recipe Name,Shallot Marm - Roast
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,
Stations,
Prep Time,
Dishes,
Description,
Equipment,
Kitchen Tools,
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Shallots,"Unit: lbs, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: fresh, peeled"
"Butter, unsalted","Unit: gr, Batch x1: 453, Batch x2: 906, Batch x3: 1359, Batch x4: 1812, Prep/Brand: Silver Cow"
=== Prep Steps ===,
Step 1,"Pre heat oven to ~350°F, low fan"
Step 2,"Dice up cold butter, add shallots and butter to a hotel pan and cover with aluminum foil"
Step 3,Roast in the oven for ~30 minutes or until the shallots are soft and beginning to lose water
Step 4,"Cool naturally or in a blast chiller, remove the shallots and chop into small dice for shallot marmalade production."
