Field,Value
Recipe Name,Lemon Parm Vinaigrette
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Garde Manger
Prep Time,~10 mins
Dishes,Baby Gem Salad
Description,
Equipment,Large Immersion Blender
Kitchen Tools,"22 qt Cambro, rubber spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Sushi Vinegar,"Unit: gr, Batch x1: 112, Batch x2: 224, Batch x3: 336, Batch x4: 448, Prep/Brand: prepped"
"Lemon, juice","Unit: gr, Batch x1: 224, Batch x2: 448, Batch x3: 672, Batch x4: 896, Prep/Brand: fresh, squeezed juice"
"Mustard, Dijon","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: Maille Dijon"
Honey,"Unit: gr, Batch x1: 212, Batch x2: 424, Batch x3: 636, Batch x4: 848, Prep/Brand: Bear's Club Honey"
"Cheese, Parmesan Grated","Unit: gr, Batch x1: 224, Batch x2: 448, Batch x3: 672, Batch x4: 896, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
"Spice, Black Peppercorn ground","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: "
"Oil, Blended","Unit: gr, Batch x1: 880, Batch x2: 1760, Batch x3: 2640, Batch x4: 3520, Prep/Brand: Spoleto"
=== Prep Steps ===,
Step 1,Place oil in blast chiller while preparing other ingredients.
Step 2,"In 22qt cambro, add mustard, honey, lemon juice, sushi vinegar, salt and pepper"
Step 3,"Using a large immersion blender, blend until smooth."
Step 4,Add cheese to puree with mustard mixture
Step 5,Add water to loosen mixture while adding in cheese and maintain emulsion.
Step 6,"Once everything is combined, begin emulsifying the cold oil into the mixture in a small stream"
Step 7,Sauce should be thick to coat and show no bubbling on the back of a spoon (nape)
Step 8,Reserve in quart containers and store in the cooler
