Field,Value
Recipe Name,Crispy Shrimp
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,Prep
Prep Time,~40 mins
Dishes,Crispy Shrimp
Description,
Equipment,"Mixing bowls, sheet trays, Fryer, spider strainer"
Kitchen Tools,Whisk
Allergies,"Shellfish (shrimp/crustacean), Gluten"
Recipe Yield Unit,HP
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Shrimp,"Unit: lbs, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: 16/20 P&D, tails cut off"
Cake Flour,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: King Arthur"
Corn Starch,"Unit: gr, Batch x1: 240, Batch x2: 480, Batch x3: 720, Batch x4: 960, Prep/Brand: Argo"
Baking Powder,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: "
"Sparkling Water, Cold","Unit: mL, Batch x1: 4000, Batch x2: 8000, Batch x3: 12000, Batch x4: 16000, Prep/Brand: San Pelligrino"
=== Prep Steps ===,
Step 1,"In a mixing bowl, mix the batter first (cake flour, corn starch, baking powder, and sparkling water). Mix until homogenous."
Step 2,"In a separate mixing bowl, reserve extra cake flour (various amount) to coat shrimp before battering."
Step 3,"Add shrimp to dredge flour in small amounts at a time, to prevent excess moisture mixing."
Step 4,"Each batch of shrimp as it is dredged, batter immediately and start frying."
Step 5,"Fry in single layers at a time, in a fryer set at 350°F, and fry until lightly golden or yellow in colour (breading)."
Step 6,Reserve batches to a sheet tray and cool in single layers.  Cool in blast chiller after each tray is full.
Step 7,"Reserve in hotel pans for service, in the cooler."
