Field,Value
Recipe Name,Caramelized Onions
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~45 mins
Dishes,Crispy Chicken Veg
Description,
Equipment,"Burner Range, Blast Chiller"
Kitchen Tools,"Rubber spatula, rondeau, knife, sheet trays"
Allergies,Allium
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Onions, white spanish","Unit: gr, Batch x1: 4700, Batch x2: 9400, Batch x3: 14100, Batch x4: 18800, Prep/Brand: fresh, julienne (Rough)"
"Oil, blended","Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Spoleto"
Water,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: "
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a rondeau over medium-low heat, add oil, onions and salt and saute until sweated and transluscent. Stir occasionally."
Step 2,"Reduce heat to low and continue cooking, adding water as necessary to prevent over browning.  Stir occasionally."
Step 3,"Cook until onions are very soft, caramelized, and excess moisture has evaporated.  Should be sweat and rich in flavor and odor."
Step 4,"Cool on sheet tray in blast chiller, then reserve to quart containers."
Step 5,Store in cooler.
