Field,Value
Recipe Name,Truffle Wagyu Aioli
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,~10 mins
Dishes,
Description,
Equipment,Vitamix Blender
Kitchen Tools,"Rubber Spatula, Deli Containers"
Allergies,"Soy, MSG, Fin Fish, Eggs, Nightshade, Capsaicin, Mushroom"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4
Recipe Yield (Batch x2),8
Recipe Yield (Batch x3),12
Recipe Yield (Batch x4),16
=== Ingredients ===,
"Mayo, Kewpie","Unit: gr, Batch x1: 1955, Batch x2: 3910, Batch x3: 5865, Batch x4: 7820, Prep/Brand: Kewpie (Tube) Red Label"
"Spice, Old Bay Seasoning","Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Old Bay"
Truffle Paste,"Unit: gr, Batch x1: 40, Batch x2: 80, Batch x3: 120, Batch x4: 160, Prep/Brand: Black Diamond Caviar"
"Oil, Truffle Black","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Dolce Nero"
=== Prep Steps ===,
Step 1,Combine all ingredients in a vitamix blender and blend until smooth and homogenous
Step 2,Reserve in quart containers and store in the cooler
