Field,Value
Recipe Name,Wagyu Marinade
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,
Prep Time,
Dishes,Earth & Turf
Description,
Equipment,robot coupe
Kitchen Tools,"knife, peeler, rubber spatula, deli containers"
Allergies,"Soy, Gluten (wheat), honey, allium (garlic), sesame, capsaicin, nightshade"
Recipe Yield Unit,GR
Recipe Yield (Batch x1),2550
Recipe Yield (Batch x2),5100
Recipe Yield (Batch x3),7650
Recipe Yield (Batch x4),10200
=== Ingredients ===,
Honey,"Unit: gr, Batch x1: 336, Batch x2: 672, Batch x3: 1008, Batch x4: 1344, Prep/Brand: Bear's Club Honey"
ginger,"Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: fresh, peeled"
Garlic,"Unit: gr, Batch x1: 70, Batch x2: 140, Batch x3: 210, Batch x4: 280, Prep/Brand: fresh, peeled"
"Sugar, Light Brown","Unit: gr, Batch x1: 213, Batch x2: 426, Batch x3: 639, Batch x4: 852, Prep/Brand: Domino"
"Togarashi, Schichimi","Unit: gr, Batch x1: 56, Batch x2: 112, Batch x3: 168, Batch x4: 224, Prep/Brand: S&B"
Ponzu,"Unit: gr, Batch x1: 1792, Batch x2: 3584, Batch x3: 5376, Batch x4: 7168, Prep/Brand: Mizkan Ajipon Ponzu"
=== Prep Steps ===,
Step 1,"In a robot coupe, process all ingredients together (do not use vitamix as it will puree)"
Step 2,"Use the pulse feature to process, to assist with incorporating the ginger and garlic"
Step 3,Reserve in quart containers and store in the cooler.
Step 4,"Marinate beef before service in a container, so that beef is fully submerged."
Step 5,Marinate for 30 minutes minimum
