Field,Value
Recipe Name,Vegan Mushroom Cream
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,pasta
Prep Time,~35 mins
Dishes,Vegan Mushroom Pasta
Description,
Equipment,"Hotel Pan, Oven, Vitamix Blender"
Kitchen Tools,deli containers
Allergies,"Soy, Mushroom"
=== Ingredients ===,
"Mushrooms, Button White","Unit: gr, Batch x1: 1260, Batch x2: 2520, Batch x3: 3780, Batch x4: 5040, Prep/Brand: halved"
Tamari,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: San-J"
Vegan Cream Cheese (1 tub),"Unit: gr, Batch x1: 227, Batch x2: 454, Batch x3: 681, Batch x4: 908, Prep/Brand: Tofutti"
Soy Milk,"Unit: gr, Batch x1: 400, Batch x2: 800, Batch x3: 1200, Batch x4: 1600, Prep/Brand: Pacific Barista Series"
=== Prep Steps ===,
Step 1,"Cut mushrooms into halves, combine with Tamari just to cover and place in ~325°F oven for ~15 mins or until tender"
Step 2,Remove mushrooms from oven and cool in blast chiller
Step 3,"Once completely cool, add all ingredients to a vitamix blender and blend on high until smooth"
Step 4,Reserve in quart containers in the cooler
