Field,Value
Recipe Name,Vegan Caesar
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Garde Manger
Prep Time,~10 mins
Dishes,Vegan Baby Gem
Description,
Equipment,"Grill, Robot Coupe"
Kitchen Tools,"Mixing bowl, rubber spatula, whisk, 
deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Vegan Mayonaisse,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Follow Your Heart Veganaise"
"Nuts, Cashews toasted","Unit: gr, Batch x1: 96, Batch x2: 192, Batch x3: 288, Batch x4: 384, Prep/Brand: "
Nutritional Yeast,"Unit: gr, Batch x1: 13, Batch x2: 26, Batch x3: 39, Batch x4: 52, Prep/Brand: "
"Nori Dust (toasted sushi nori, powdered)","Unit: gr, Batch x1: 1, Batch x2: 2, Batch x3: 3, Batch x4: 4, Prep/Brand: prepped"
"Vinegar, Champagne","Unit: gr, Batch x1: 83, Batch x2: 166, Batch x3: 249, Batch x4: 332, Prep/Brand: "
=== Prep Steps ===,
Step 1,Toast nori sheets over the grill until the seaweed dries up and seizes slightly.  Grind into powder.
Step 2,"In a robot coupe, grind the cashews until they cream but before they turn to a nut butter"
Step 3,"In a mixing bowl, add all ingredients including nori powder and cashews, mix until combined with a whisk."
Step 4,Reserve in quart containers and store in the cooler
