Field,Value
Recipe Name,Mother #1
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 Days
Stations,Saucier
Prep Time,25 mins
Dishes,various
Description,
Equipment,burner range
Kitchen Tools,"rubber spatula, deli containers"
Allergies,"citrus, finfish, capsaicin, nightshade, "
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2.5
Recipe Yield (Batch x2),5
Recipe Yield (Batch x3),7.5
Recipe Yield (Batch x4),10
=== Ingredients ===,
Yuzu Juice,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: "
"Sugar, granulated","Unit: gr, Batch x1: 700, Batch x2: 1400, Batch x3: 2100, Batch x4: 2800, Prep/Brand: Domino"
Fish Sauce,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Viet Huong ""3 Crabs"""
Lemon juice,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Perricone Farms, pastuerized"
Sambal Chili Paste,"Unit: gr, Batch x1: 56, Batch x2: 112, Batch x3: 168, Batch x4: 224, Prep/Brand: Sambal Oelek"
"Vinegar, Champagne","Unit: gr, Batch x1: 460, Batch x2: 920, Batch x3: 1380, Batch x4: 1840, Prep/Brand: "
Lime Juice,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Perricone Farms, pastuerized"
"Ice, cubed","Unit: gr, Batch x1: 800, Batch x2: 1600, Batch x3: 2400, Batch x4: 3200, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Combine all ingredients in a sauce pot, heat until sugar disolves"
Step 2,Remove from heat and add ice
Step 3,"Allow to cool, then reserve to quart containers"
Step 4,Store in the cooler
