Field,Value
Recipe Name,Wasabi Soy
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Plancha
Prep Time,~5 mins
Dishes,Filet Skewers
Description,
Equipment,Vitamix blender
Kitchen Tools,Rubber spatula
Recipe Yield Unit,QT
Recipe Yield (Batch x1),7
Recipe Yield (Batch x2),14
Recipe Yield (Batch x3),21
Recipe Yield (Batch x4),28
=== Ingredients ===,
Sushi Vinegar,"Unit: gr, Batch x1: 1600, Batch x2: 3200, Batch x3: 4800, Batch x4: 6400, Prep/Brand: prepped"
Soy Sauce,"Unit: gr, Batch x1: 900, Batch x2: 1800, Batch x3: 2700, Batch x4: 3600, Prep/Brand: Kikkoman Low Sodium"
EVOO,"Unit: gr, Batch x1: 1400, Batch x2: 2800, Batch x3: 4200, Batch x4: 5600, Prep/Brand: Spoleto"
Wasabi,"Unit: gr, Batch x1: 1600, Batch x2: 3200, Batch x3: 4800, Batch x4: 6400, Prep/Brand: Kinjirushi Nama Wasabi"
Shiro Dashi,"Unit: gr, Batch x1: 550, Batch x2: 1100, Batch x3: 1650, Batch x4: 2200, Prep/Brand: Kikkoman Kaori Soup Base"
Xanthan Gum,"Unit: gr, Batch x1: 4, Batch x2: 8, Batch x3: 12, Batch x4: 16, Prep/Brand: "
=== Prep Steps ===,
Step 1,"In a vitamix  blender, combine all ingredients except xanthan gum"
Step 2,"Once smooth, add Xanthan while blending on high to maintain emulsion and reach desired texture/viscosity"
Step 3,Reserve in quart containers and store in cooler
