Field,Value
Recipe Name,Vegan Truffle Aioli
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Fry / Runners
Prep Time,~5 mins
Dishes,Truffle French Fries
Description,
Equipment,Large Immersion Blender
Kitchen Tools,"22 qt Cambro, rubber spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
Vegan Mayo,"Unit: gr, Batch x1: 7500, Batch x2: 15000, Batch x3: 22500, Batch x4: 30000, Prep/Brand: Sir Kensington's"
Black Truffle Peelings,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Recoltes de France"
Lemon Juice,"Unit: gr, Batch x1: 820, Batch x2: 1640, Batch x3: 2460, Batch x4: 3280, Prep/Brand: Perricone Farms, pasteurized"
"Oi, Truffle White","Unit: gr, Batch x1: 1790, Batch x2: 3580, Batch x3: 5370, Batch x4: 7160, Prep/Brand: Belaria"
"Spice, Black Peppercorn fresh ground","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
"Salt, kosher","Unit: gr, Batch x1: 110, Batch x2: 220, Batch x3: 330, Batch x4: 440, Prep/Brand: Diamond Crystal"
Tasty Salt,"Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: prepped"
Xanthan Gum,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
Water,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: "
=== Prep Steps ===,
Step 1,"Place vegan mayo first into a 22 qt cambro, then all other ingredients on top"
Step 2,"Use a large immersion blender to combine, ensuring smooth emulsification with all ingredients"
Step 3,Should be highly fragrant of truffle
Step 4,Reserve to quart containers and store in the cooler
