Field,Value
Recipe Name,Citrus Aji Amarillo
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,3 DAYS
Stations,SUSHI- CRUDO
Prep Time,
Dishes,MADAI CRUDO
Description,
Equipment,VITAMIX
Kitchen Tools,SCALE
Allergies,"CITRUS, ALCOHOL, CAPCASIN, ALLIUM"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
ORANGE JUICE,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: "
CALAMANSI SYRUP,"Unit: gr, Batch x1: 120, Batch x2: 240, Batch x3: 360, Batch x4: 480, Prep/Brand: "
YUZU JUICE,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
LEMON JUICE,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
LIME JUICE,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
WHITE PONZU,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
SUSHI VINEGAR,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
"GARI, PICKLED GINGER","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
AJI AMARILLO PASTE,"Unit: gr, Batch x1: 20, Batch x2: 40, Batch x3: 60, Batch x4: 80, Prep/Brand: "
YUZU KOSHO PASTE,"Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
SUGAR,"Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: "
SALT,"Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: "
=== Prep Steps ===,
Step 1,"ADD ALL TO VITAMIX, BLEND AND STORE IN QT DELIS."
