Field,Value
Recipe Name,Shallot Vinaigrette
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,Inside Expo (Brunch)
Prep Time,~5 mins
Dishes,Dirty Omelette
Description,
Equipment,Vitamix blender
Kitchen Tools,"Rubber Spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),2
Recipe Yield (Batch x2),4
Recipe Yield (Batch x3),6
Recipe Yield (Batch x4),8
=== Ingredients ===,
Sushi Vinegar,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: prepped"
"Oil, Grapeseed","Unit: gr, Batch x1: 600, Batch x2: 1200, Batch x3: 1800, Batch x4: 2400, Prep/Brand: Spoleto"
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
"Spice, Black Peppercorn ground","Unit: gr, Batch x1: 2, Batch x2: 4, Batch x3: 6, Batch x4: 8, Prep/Brand: "
Honey,"Unit: gr, Batch x1: 200, Batch x2: 400, Batch x3: 600, Batch x4: 800, Prep/Brand: Bear's Club Honey"
"Lemon, juice","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Perricone Farms, pasteurized"
Shallots,"Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: fresh, minced"
"Mustard, Dijon","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Maille Dijon"
=== Prep Steps ===,
Step 1,"In a vitamix blender, combine all ingredients except the oil."
Step 2,"While blending on high speed, slowly stream in the oil to emulsify"
Step 3,"Reserve in quart containers, store in the cooler"
