Field,Value
Recipe Name,Wasabi Cream
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,5 days
Stations,various
Prep Time,5 mins
Dishes,Tartar Trio
Description,
Equipment,
Kitchen Tools,"Mixing bowl, whisk, rubber spatula, deli containers"
Allergies,"Dairy, Mustard, soy"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Yogurt, Greek","Unit: gr, Batch x1: 907, Batch x2: 1814, Batch x3: 2721, Batch x4: 3628, Prep/Brand: Fage"
"Wasabi, frozen grated","Unit: gr, Batch x1: 35, Batch x2: 70, Batch x3: 105, Batch x4: 140, Prep/Brand: Kinjirushi Nama Wasabi"
"Salt, Kosher","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a mixing bowl, use a whisk to combine all ingredients until homogenous"
Step 2,Reserve in quart containers and store in the cooler.
