Field,Value
Recipe Name,Oysters
Implemented,01.01.24
Last Revised,01.02.24
Kitchen,Pastry/Sushi/Haute
Stations,01.01.24
Menu Type,Regular
Meal Period,Nights
Meal Type,Appetizer
Preparation Time,3 minutes
Plating Instructions,"Large Salad Plate/Bowl, Bev Napkin Liner"
Plate Type,
Utensils,
Allergies,"Shellfish (bivalve), allium (garlic, onion), citrus"
=== Ingredients ===,
"Oysters, East Coast","Unit: ea, Qty: 6 or 12, Prep: "
Red Wine Mignonette,"Unit: g, Qty: 35, Prep: prepped"
Cocktail Sauce,"Unit: g, Qty: 35, Prep: prepped"
"Seaweed, fresh","Unit: nan, Qty: nan, Prep: "
Lemon Cheek,"Unit: ea, Qty: 2 or 4, Prep: "
Bamboo Leaf,"Unit: ea, Qty: 1, Prep: "
=== Steps ===,
Step 1,"Wash oysters in cold water, scrubbing the outside shell and hinge thoroughly"
Step 2,Reserve for service
Step 3,"In a pot of boiling water, blanch seaweed for ~30 seconds or until bright and green Shock."
Step 4,"Pre-shuck the oysters and reserve on ice, in a cooler, for no longer than an hour before use"
Step 5,Shave ice and reserve in ice well for use in pick up
Step 6,"When preparing the Cedar Paper for the filet, reserve the 1x4 inch strip."
Step 7,"Burn the Catch logo into the Cedar Paper strip and reserve in a cool, dry place."
=== Plate Build ===,
Step 1,"In the plate, place bev napkin first then cover with shaved ice to just over the top of the plate lip"
Step 2,"Place seaweed naturally on top of the ice, not touching the edges of the plate."
Step 3,"Line the oysters around the outside edge of the ice, just to the lip of the edge of the plate."
Step 4,"Poke the bamboo leaf into the ice near the middle of the plate in a decorative fold, then place lemons next"
Step 5,"Poke the catch logo paper into the ice between the bamboo and oysters, with the logo visible"
Step 6,Garnish with ramekins of cocktail sauce and mignonette (Runners) and serve immediately.
