Field,Value
Recipe Name,Mushroom Cream
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,pasta
Prep Time,~45 mins
Dishes,Mushroom Spaghetti
Description,
Equipment,"Rondeaux pan, vitamix blender, immersion blender"
Kitchen Tools,"rubber spatula, knife"
Allergies,"Soy, Mushroom, Dairy"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),15
Recipe Yield (Batch x2),30
Recipe Yield (Batch x3),45
Recipe Yield (Batch x4),60
=== Ingredients ===,
"Butter, unsalted","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Silver Cow"
"Mushrooms, button white","Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: "
"Cream, Heavy Whipping 40%","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: Grand Reserve"
"Oil, Truffle","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Dolce Nero Tartufo"
Tamari Soy Sauce,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: San-J"
"Salt, Kosher","Unit: gr, Batch x1: 150, Batch x2: 300, Batch x3: 450, Batch x4: 600, Prep/Brand: Diamon Crystal"
Marscapone,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Belgiosso"
"Sugar, granulated","Unit: gr, Batch x1: 100, Batch x2: 200, Batch x3: 300, Batch x4: 400, Prep/Brand: Domino"
Mother #2,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: prepped"
=== Prep Steps ===,
Step 1,"Wash mushrooms, then cut into a rough chop"
Step 2,"In a rondeaux, cook mushrooms with butter and truffle oil until tender"
Step 3,"Deglaze with tamari, then add cream, sugar, and salt."
Step 4,Bring mixture to a boil and maintain ~20 minutes or until thickened and consistent
Step 5,Use a large immersion blender to blend the mixture smooth
Step 6,Fold in Marscapone and simmer for ~10 more minutes or until thickened to correct consistency
Step 7,"Add Mother #2, then begin blending in batches in a vitamix blender until smooth"
Step 8,"Reserve in cambro containers, cool in blast chiller or ice bath, then store in cooler."
