Field,Value
Recipe Name,Crispy Quinao
Implemented,2023-10-28 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~45 mins
Dishes,various
Description,
Equipment,"burner range, double fryer, blast chiller"
Kitchen Tools,"fine mesh strainer, stock pot, fine mesh spider, 
sheet trays, deli containers"
Allergies,Ancient Grains
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Qunoa, Red","Unit: gr, Batch x1: 720, Batch x2: 1440, Batch x3: 2160, Batch x4: 2880, Prep/Brand: "
Water,"Unit: qt, Batch x1: 8, Batch x2: 16, Batch x3: 24, Batch x4: 32, Prep/Brand: "
Salt,"Unit: gr, Batch x1: 63, Batch x2: 126, Batch x3: 189, Batch x4: 252, Prep/Brand: "
=== Prep Steps ===,
Step 1,Bring water to a rolling boil in a medium stock pot
Step 2,Rinse the quina with cool water in a fine mesh strainer to remove excess starch
Step 3,"Add quinoa to the boiling water and cook for ~10-12 minutes, or until at desired tenderness"
Step 4,"Strain through fine mesh strainer and reserve to a sheet tray to cool, placed in blast chiller."
Step 5,"Once cooled, fry in deep fryer at ~350°F, using a fine mesh strainer to remove once puffed."
Step 6,"Product should be fully fried and puffed, with no moisture or chewiness left"
Step 7,Dry on sheet trays with reseting racks lined with sport towels.
Step 8,Reserve into quart containers 
