Field,Value
Recipe Name,White Ponzu
Implemented,2024-02-13 00:00:00
Created,2024-02-13 00:00:00
Shelf Life,8 days
Stations,various
Prep Time,24 hours (30 minutes prep)
Dishes,various
Description,
Equipment,
Kitchen Tools,"cambro containers, whisk, quart delis"
Allergies,"Finfish, Soy, Gluten (Wheat), Citrus, Alcohol (nitrates)"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
White Soy,"Unit: gr, Batch x1: 1800, Batch x2: 3600, Batch x3: 5400, Batch x4: 7200, Prep/Brand: Ymashin Shiro Shoyu"
Yuzui,"Unit: gr, Batch x1: 1800, Batch x2: 3600, Batch x3: 5400, Batch x4: 7200, Prep/Brand: "
Sake,"Unit: gr, Batch x1: 2000, Batch x2: 4000, Batch x3: 6000, Batch x4: 8000, Prep/Brand: Takara"
Mirin,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: Takara"
Sushi Vinegar,"Unit: gr, Batch x1: 1000, Batch x2: 2000, Batch x3: 3000, Batch x4: 4000, Prep/Brand: prepped"
Fish Sauce,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Red Boat Fish Sauce"
Shiro Dashi,"Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: Kikkoman Kaori Soup Base"
Konbu,"Unit: gr, Batch x1: 800, Batch x2: 1600, Batch x3: 2400, Batch x4: 3200, Prep/Brand: Miyako Select Dashi Konbu"
Bonito Flakes (Katsuobushi),"Unit: gr, Batch x1: 250, Batch x2: 500, Batch x3: 750, Batch x4: 1000, Prep/Brand: Miyako Original Dried Shaved"
=== Prep Steps ===,
Step 1,"In a 22 qt cambro container, combine all ingredients and mix until homogenous."
Step 2,"Allow to steep for ~24 hours, in a cool dry place."
Step 3,"After 24 hours, strain and reserve in quart containers."
Step 4,Store in a cooler
