Field,Value
Recipe Name,Kabayaki BB Thick
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,"Saucier, Plancha, Inside Expo"
Prep Time,~20 mins
Dishes,Filet Skewers
Description,
Equipment,"Stock Pot or Sauce Pot, Burner Range"
Kitchen Tools,"Whisk, Rubber Spatula, Deli Containers, 
Small Mixing Bowl"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Water, cold","Unit: gr, Batch x1: 500, Batch x2: 1000, Batch x3: 1500, Batch x4: 2000, Prep/Brand: "
"Oil, Black Truffle","Unit: gr, Batch x1: 114, Batch x2: 228, Batch x3: 342, Batch x4: 456, Prep/Brand: Dolce Nero, Black Truffle Oil"
Shiro Dashi,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: Kikkoman Kaori Soup Base"
Kobayaki Sauce,"Unit: gr, Batch x1: 2200, Batch x2: 4400, Batch x3: 6600, Batch x4: 8800, Prep/Brand: J Basket Unagi Kabayaki"
"Butter, unsalted","Unit: gr, Batch x1: 1812, Batch x2: 3624, Batch x3: 5436, Batch x4: 7248, Prep/Brand: Silver Cow"
=== Prep Steps ===,
Step 1,"In a sauce pot, combine truffle oil and butter and heat until butter is melted, mixing with a whisk to prevent burning solids"
Step 2,"Once butter is melted and slightly foamy, add other ingredients"
Step 3,"Continue heating and mixing until smooth and homogenous, and entire sauce is warmed through"
Step 4,"Mix the Potato Starch and Water into a slurry, and slowly add to the pot while whisking in"
Step 5,Cook ~5 minutes more or until thickened from starch activation
Step 6,Ensure mixture is homogenous and evenly thickened.
Step 7,Reserve to quart containers and cool in a blast chiller or ice bath
Step 8,Store in the cooler
