Field,Value
Recipe Name,Mashed Potato - Garlic
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,inside expo / prep
Prep Time,~45 mins
Dishes,Garlic Mashed Potato
Description,
Equipment,"Combi oven, Jobart mixer, burner range"
Kitchen Tools,"Rubber spatula, whisk, chinois, hotel pans,
sheet trays"
Allergies,"Allium (Garlic), Nightshade, Dairy"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),8
Recipe Yield (Batch x2),16
Recipe Yield (Batch x3),24
Recipe Yield (Batch x4),32
=== Ingredients ===,
"Potato, pellets","Unit: gr, Batch x1: 2500, Batch x2: 5000, Batch x3: 7500, Batch x4: 10000, Prep/Brand: Lutosa Potato Pellets"
Milk,"Unit: gr, Batch x1: 900, Batch x2: 1800, Batch x3: 2700, Batch x4: 3600, Prep/Brand: "
"Cream, Heavy Whipping 40%","Unit: gr, Batch x1: 900, Batch x2: 1800, Batch x3: 2700, Batch x4: 3600, Prep/Brand: "
"Butter, unsalted","Unit: gr, Batch x1: 454, Batch x2: 908, Batch x3: 1362, Batch x4: 1816, Prep/Brand: Silver Cow"
Toasted Garlic,"Unit: gr, Batch x1: 50, Batch x2: 100, Batch x3: 150, Batch x4: 200, Prep/Brand: prepped"
"Salt, Kosher","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: Diamond Crystal"
=== Prep Steps ===,
Step 1,"In a 200 hotel pan, steam the potato pellets (perforated pan if in bag, regular pan and covered with plastic if out of bag)"
Step 2,"In a sauce pot, heat the cream, milk, butter, and garlic, to a light simmer.  Remove from heat."
Step 3,"Allow to steep for 5-10 minutes, then strain through chinois fine mesh strainer"
Step 4,"In a hobart standing mixer with whisk attachment, whip the potato on lowest setting."
Step 5,Add in cream mixture slowly to the desired consistency.
Step 6,"Reserve in pans for service (covered in plastic, in steam oven)"
Step 7,"Reserve on sheet trays lined with parchment if prepped ahead.  Cool in blast chiller, then in cooler unwrapped."
