Field,Value
Recipe Name,House Aioli Rouille
Implemented,2024-02-10 00:00:00
Created,2024-02-10 00:00:00
Shelf Life,5 days
Stations,saucier
Prep Time,~5 mins
Dishes,House Aioli 
Description,
Equipment,Vitamix blender
Kitchen Tools,"Can opener, rubber spatula, deli containers"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),4.5
Recipe Yield (Batch x2),9
Recipe Yield (Batch x3),13.5
Recipe Yield (Batch x4),18
=== Ingredients ===,
"Milk, skim","Unit: gr, Batch x1: 1000.0, Batch x2: 2000, Batch x3: 3000.0, Batch x4: 4000, Prep/Brand: "
Garlic,"Unit: gr, Batch x1: 60.0, Batch x2: 120, Batch x3: 180.0, Batch x4: 240, Prep/Brand: fresh, whole"
"Liqueure, Chartreuse Pernod","Unit: gr, Batch x1: 80.0, Batch x2: 160, Batch x3: 240.0, Batch x4: 320, Prep/Brand: Chartreuse "
"Spice, Saffron","Unit: gr, Batch x1: 0.5, Batch x2: 1, Batch x3: 1.5, Batch x4: 2, Prep/Brand: spice, dry"
"Spice, Espellete","Unit: gr, Batch x1: 1.0, Batch x2: 2, Batch x3: 3.0, Batch x4: 4, Prep/Brand: spice, dry"
"Spice, Black Pepper gorund","Unit: gr, Batch x1: 1.0, Batch x2: 2, Batch x3: 3.0, Batch x4: 4, Prep/Brand: spice, dry"
=== Prep Steps ===,
Step 1,Combine all ingredients in a vitamix blender and blend until smooth.
Step 2,Reserve in quart containers in the cooler
