Field,Value
Recipe Name,Fingerling Potato Confit
Implemented,2024-02-20 00:00:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~3 hours
Dishes,Grilled Octopus
Description,
Equipment,"Convection Oven, Blast Chiller, produce sink"
Kitchen Tools,"hotel pans, large collander, chinois strainer"
Allergies,"Allium (Garlic), Nightshade"
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),2
Recipe Yield (Batch x3),3
Recipe Yield (Batch x4),4
=== Ingredients ===,
"Potatoes, fingerling mix","Unit: lbs, Batch x1: 17, Batch x2: 34, Batch x3: 51, Batch x4: 68, Prep/Brand: medium sized, cut if needed"
"Garlic, whole cloves","Unit: gr, Batch x1: 80, Batch x2: 160, Batch x3: 240, Batch x4: 320, Prep/Brand: peeled, whole"
"Herbs, Rosemary","Unit: gr, Batch x1: 30, Batch x2: 60, Batch x3: 90, Batch x4: 120, Prep/Brand: herbs, fresh"
"Herbs, Thyme","Unit: gr, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: herbs, fresh"
"Salt, Kosher","Unit: gr, Batch x1: 15, Batch x2: 30, Batch x3: 45, Batch x4: 60, Prep/Brand: Diamond Crystal"
"Oil, Canola Fryer","Unit: qt, Batch x1: 10, Batch x2: 20, Batch x3: 30, Batch x4: 40, Prep/Brand: "
=== Prep Steps ===,
Step 1,Wash potatoes in cold water to remove excess dirt from skins.
Step 2,"In a 600 Hotel Pan, add potatoes and all other ingredients.  Oil should cover by about an inch."
Step 3,"Cover with aluminum foil, shiny side out, and crimp to seal the sides."
Step 4,"In a preheated oven set to ~500°F, cook potatoes for ~2 hours.  Check every 30 minutes for tenderness."
Step 5,"Once potatoes are tender but whole, remove from oven and allow to cool covered to room temp."
Step 6,Strain oil and reserve.  Use old oil once before discarding.
Step 7,Cool potatoes in a blast chiller then reserve to hotel pan in cooler until needed for service.
Step 8,Remove any garlic or herbs that can be removed.
